,VARIABLES,level_1,v,w
0,victimbw,Low_SES,-22.08,-22.08
1,victimbw,High_SES,-14.25,-14.25
2,victimbw,Low_educ,-18.36,-18.36
3,victimbw,High_educ,-12.26,-12.26
4,victimbw,Married,-12.11,-12.11
5,victimbw,NonMarried,-19.83,-19.83
6,bw,Low_SES,-38.36,-5.803
7,bw,High_SES,-24.47,-4.033
8,bw,Low_educ,-28.82,-7.893
9,bw,High_educ,-29.04,4.508
10,bw,Married,-24.01,-0.208
11,bw,NonMarried,-33.10,-6.572
12,Observations,Low_SES,491777,491777
13,Observations,High_SES,872112,872112
14,Observations,Low_educ,1081913,1081913
15,Observations,High_educ,254132,254132
16,Observations,Married,789874,789874
17,Observations,NonMarried,559761,559761
18,R-squared,Low_SES,0.069,0.069
19,R-squared,High_SES,0.054,0.054
20,R-squared,Low_educ,0.054,0.054
21,R-squared,High_educ,0.076,0.076
22,R-squared,Married,0.056,0.056
23,R-squared,NonMarried,0.061,0.061
24,victime,Low_SES,0.00306,0.00306
25,victime,High_SES,0.000963,0.000963
26,victime,Low_educ,0.00131,0.00131
27,victime,High_educ,0.00197,0.00197
28,victime,Married,0.00127,0.00127
29,victime,NonMarried,0.00154,0.00154
30,e,Low_SES,0.000636,0.00549
31,e,High_SES,-0.000533,0.00246
32,e,Low_educ,-0.000184,0.00281
33,e,High_educ,-0.000562,0.00450
34,e,Married,-0.000387,0.00293
35,e,NonMarried,-0.000449,0.00354
36,Observations,Low_SES,491777,491777
37,Observations,High_SES,872112,872112
38,Observations,Low_educ,1081913,1081913
39,Observations,High_educ,254132,254132
40,Observations,Married,789874,789874
41,Observations,NonMarried,559761,559761
42,R-squared,Low_SES,0.048,0.048
43,R-squared,High_SES,0.043,0.043
44,R-squared,Low_educ,0.039,0.039
45,R-squared,High_educ,0.058,0.058
46,R-squared,Married,0.044,0.044
47,R-squared,NonMarried,0.046,0.046
48,victiml,Low_SES,0.0107,0.0107
49,victiml,High_SES,0.00705,0.00705
50,victiml,Low_educ,0.00919,0.00919
51,victiml,High_educ,0.00403,0.00403
52,victiml,Married,0.00351,0.00351
53,victiml,NonMarried,0.0130,0.0130
54,l,Low_SES,0.00191,0.0195
55,l,High_SES,0.00117,0.0129
56,l,Low_educ,0.00321,0.0152
57,l,High_educ,-0.00538,0.0134
58,l,Married,-0.00303,0.0101
59,l,NonMarried,0.00547,0.0205
60,Observations,Low_SES,491777,491777
61,Observations,High_SES,872112,872112
62,Observations,Low_educ,1081913,1081913
63,Observations,High_educ,254132,254132
64,Observations,Married,789874,789874
65,Observations,NonMarried,559761,559761
66,R-squared,Low_SES,0.057,0.057
67,R-squared,High_SES,0.045,0.045
68,R-squared,Low_educ,0.043,0.043
69,R-squared,High_educ,0.064,0.064
70,R-squared,Married,0.047,0.047
71,R-squared,NonMarried,0.052,0.052
72,victimv,Low_SES,0.00290,0.00290
73,victimv,High_SES,0.00141,0.00141
74,victimv,Low_educ,0.000803,0.000803
75,victimv,High_educ,0.00357,0.00357
76,victimv,Married,0.0016,0.0016
77,victimv,NonMarried,0.00133,0.00133
78,v,Low_SES,-0.000447,0.00625
79,v,High_SES,-0.000878,0.00369
80,v,Low_educ,-0.00141,0.00302
81,v,High_educ,-0.000280,0.00742
82,v,Married,-0.000961,0.00417
83,v,NonMarried,-0.00153,0.00418
84,Observations,Low_SES,491777,491777
85,Observations,High_SES,872112,872112
86,Observations,Low_educ,1081913,1081913
87,Observations,High_educ,254132,254132
88,Observations,Married,789874,789874
89,Observations,NonMarried,559761,559761
90,R-squared,Low_SES,0.052,0.052
91,R-squared,High_SES,0.044,0.044
92,R-squared,Low_educ,0.041,0.041
93,R-squared,High_educ,0.062,0.062
94,R-squared,Married,0.047,0.047
95,R-squared,NonMarried,0.048,0.048
