,ACYEAR,F_XLEV601,F_SEXID,n,percent_fem,percent_dist
0,2012,First degree,Female,9690.71,33.14186105446324,72.67336652515522
1,2012,First degree,Male,19549.38,66.85813894553675,84.16089145354559
2,2012,Masters,Female,3185.76,52.31768720665565,23.890912445133377
3,2012,Masters,Male,2903.5,47.68231279334434,12.499687884494014
4,2012,Doctorate,Female,458.14,37.131232574726056,3.435721029711405
5,2012,Doctorate,Male,775.7,62.86876742527394,3.339420661960395
6,2013,First degree,Female,9949.72,33.189973077003906,73.51571655088539
7,2013,First degree,Male,20028.37,66.8100269229961,84.12916705346271
8,2013,Masters,Female,3123.91,50.97597989621749,23.081703011790925
9,2013,Masters,Male,3004.29,49.02402010378251,12.619519975267457
10,2013,Doctorate,Female,460.51,37.30215302865845,3.402580437323687
11,2013,Doctorate,Male,774.03,62.69784697134156,3.2513129712698405
12,2014,First degree,Female,10117.3,33.34730866160522,73.05162922613924
13,2014,First degree,Male,20221.88,66.65269133839477,84.02284943109105
14,2014,Masters,Female,3265.44,51.31177010396108,23.57800125924942
15,2014,Masters,Male,3098.48,48.68822989603892,12.874328128999233
16,2014,Doctorate,Female,466.78,38.4643275046558,3.370369514611337
17,2014,Doctorate,Male,746.76,61.5356724953442,3.1028224399097186
18,2015,First degree,Female,10643.33,33.25344381020224,74.65325853509358
19,2015,First degree,Male,21363.37,66.74655618979777,85.66575975266711
20,2015,Masters,Female,3165.14,52.41026897780486,22.20057206905791
21,2015,Masters,Male,2874.02,47.58973102219514,11.524638053095572
22,2015,Doctorate,Female,448.55,39.03116053636846,3.146169395848501
23,2015,Doctorate,Male,700.66,60.96883946363154,2.8096021942373204
24,2016,First degree,Female,11087.08,32.62358591443366,75.18652389445344
25,2016,First degree,Male,22897.78,67.37641408556634,86.29850191627631
26,2016,Masters,Female,3208.73,52.04752635847527,21.759855148140865
27,2016,Masters,Male,2956.27,47.95247364152473,11.141764496821532
28,2016,Doctorate,Female,450.29,39.86737142199439,3.0536209574056867
29,2016,Doctorate,Male,679.18,60.132628578005615,2.55973358690216
30,2017,First degree,Female,11642.84,32.35692431855125,77.41440447670588
31,2017,First degree,Male,24339.69,67.64307568144875,87.4278953136399
32,2017,Masters,Female,2950.62,51.101835815725664,19.618966690005006
33,2017,Masters,Male,2823.38,48.898164184274336,10.141549504970056
34,2017,Doctorate,Female,446.17,39.736202274609695,2.966628833289117
35,2017,Doctorate,Male,676.66,60.26379772539031,2.430555181390049
36,2018,First degree,Female,11999.75,32.160168479912606,76.77019770017287
37,2018,First degree,Male,25312.71,67.83983152008739,87.37858145652889
38,2018,Masters,Female,3218.96,51.76891382033278,20.593778669467984
39,2018,Masters,Male,2998.98,48.231086179667216,10.352373104914529
40,2018,Doctorate,Female,412.03,38.53088324683218,2.6360236303591518
41,2018,Doctorate,Male,657.32,61.4691167531678,2.269045438556582
