,Group,Ethnicity,Value,Detail
0,All men,White,2.444594239,Line at 2.10
1,All women,White,1.244502514,
2,British men,White,1.583632871,
3,British women,White,0.675872638,
4,All men,Mixed,2.521797254,
5,All women,Mixed,2.168035976,
6,British men,Mixed,1.379159179,
7,British women,Mixed,1.31542544,
8,All men,Indian,3.092152838,
9,All women,Indian,2.773156166,
10,British men,Indian,2.154012809,
11,British women,Indian,2.136908868,
12,All men,Pakistani,2.829203755,
13,All women,Pakistani,1.931621452,
14,British men,Pakistani,2.748534896,
15,British women,Pakistani,2.079999995,
16,All men,Bangladeshi,5.066682388,
17,All women,Bangladeshi,3.631807357,
18,British men,Bangladeshi,1.301038887,
19,British women,Bangladeshi,1.602718206,
20,All men,Chinese,2.160509995,
21,All women,Chinese,3.6797267,
22,British men,Chinese,1.268277611,
23,British women,Chinese,2.337925455,
24,All men,Other Asian,3.355537216,
25,All women,Other Asian,2.736549511,
26,British men,Other Asian,2.26475265,
27,British women,Other Asian,1.972148116,
28,All men,Black African,3.172876975,
29,All women,Black African,1.968965671,
30,British men,Black African,3.298401852,
31,British women,Black African,1.270585809,
32,All men,Black Caribbean,4.210733163,
33,All women,Black Caribbean,2.063020997,
34,British men,Black Caribbean,3.423309316,
35,British women,Black Caribbean,0.977928064,
36,All men,Other Black,4.124173365,
37,All women,Other Black,0.030465656,
38,British men,Other Black,0.0,
39,British women,Other Black,0.0,
40,All men,Other,2.372704374,
41,All women,Other,1.538249744,
42,British men,Other,1.374125849,
43,British women,Other,0.879191923,
