,ACYEAR,F_SEXID,F_XLEV601,BME_MKR,n,percent_fem
0,2012,Female,First degree,BME,2282.21,32.966431358274
1,2012,Female,First degree,Non-BME,3221.43,25.246850834617973
2,2012,Female,Masters,BME,137.98,38.17190914875369
3,2012,Female,Masters,Non-BME,162.29,28.19688651052888
4,2012,Female,Doctorate,BME,16.83,22.639225181598057
5,2012,Female,Doctorate,Non-BME,56.52,30.300755910577383
6,2012,Male,First degree,BME,4640.62,67.033568641726
7,2012,Male,First degree,Non-BME,9538.3,74.75314916538201
8,2012,Male,Masters,BME,223.49,61.82809085124629
9,2012,Male,Masters,Non-BME,413.27,71.80311348947113
10,2012,Male,Doctorate,BME,57.51,77.36077481840194
11,2012,Male,Doctorate,Non-BME,130.01,69.6992440894226
12,2013,Female,First degree,BME,2308.52,32.42594839985617
13,2013,Female,First degree,Non-BME,3266.89,25.160464009389862
14,2013,Female,Masters,BME,137.12,36.604378003203415
15,2013,Female,Masters,Non-BME,143.25,26.609577590370403
16,2013,Female,Doctorate,BME,21.99,26.70958338394267
17,2013,Female,Doctorate,Non-BME,46.04,28.91596533098857
18,2013,Male,First degree,BME,4810.84,67.57405160014383
19,2013,Male,First degree,Non-BME,9717.33,74.83953599061014
20,2013,Male,Masters,BME,237.48,63.39562199679658
21,2013,Male,Masters,Non-BME,395.09,73.39042240962961
22,2013,Male,Doctorate,BME,60.34,73.29041661605733
23,2013,Male,Doctorate,Non-BME,113.18,71.08403466901143
24,2014,Female,First degree,BME,2386.51,32.546040214272466
25,2014,Female,First degree,Non-BME,3271.94,25.062676991167383
26,2014,Female,Masters,BME,130.52,34.74233390119251
27,2014,Female,Masters,Non-BME,158.85,28.651563796399845
28,2014,Female,Doctorate,BME,21.48,27.25196650596295
29,2014,Female,Doctorate,Non-BME,48.34,31.01899383983573
30,2014,Male,First degree,BME,4946.21,67.45395978572753
31,2014,Male,First degree,Non-BME,9783.09,74.9373230088326
32,2014,Male,Masters,BME,245.16,65.25766609880749
33,2014,Male,Masters,Non-BME,395.57,71.34843620360016
34,2014,Male,Doctorate,BME,57.34,72.74803349403705
35,2014,Male,Doctorate,Non-BME,107.5,68.98100616016427
36,2015,Female,First degree,BME,2584.1,32.33491873413192
37,2015,Female,First degree,Non-BME,3504.05,25.193441746030143
38,2015,Female,Masters,BME,151.04,38.76796714579055
39,2015,Female,Masters,Non-BME,176.63,30.05087023835854
40,2015,Female,Doctorate,BME,15.34,24.210858585858585
41,2015,Female,Doctorate,Non-BME,39.36,26.348908823135627
42,2015,Male,First degree,BME,5407.57,67.66508126586808
43,2015,Male,First degree,Non-BME,10404.53,74.80655825396985
44,2015,Male,Masters,BME,238.56,61.23203285420944
45,2015,Male,Masters,Non-BME,411.14,69.94912976164146
46,2015,Male,Doctorate,BME,48.02,75.78914141414141
47,2015,Male,Doctorate,Non-BME,110.02,73.65109117686437
48,2016,Female,First degree,BME,2788.4,31.49581396189418
49,2016,Female,First degree,Non-BME,3707.4,24.90486186917457
50,2016,Female,Masters,BME,150.69,33.676753229338935
51,2016,Female,Masters,Non-BME,195.68,29.49030955179793
52,2016,Female,Doctorate,BME,15.34,25.553889721805763
53,2016,Female,Doctorate,Non-BME,49.86,29.84913793103448
54,2016,Male,First degree,BME,6064.84,68.50418603810583
55,2016,Male,First degree,Non-BME,11178.85,75.09513813082543
56,2016,Male,Masters,BME,296.77,66.32324677066107
57,2016,Male,Masters,Non-BME,467.86,70.50969044820206
58,2016,Male,Doctorate,BME,44.69,74.44611027819424
59,2016,Male,Doctorate,Non-BME,117.18,70.15086206896551
60,2017,Female,First degree,BME,3062.2,31.528475190193248
61,2017,Female,First degree,Non-BME,3914.32,24.876754465406407
62,2017,Female,Masters,BME,158.56,36.23400365630713
63,2017,Female,Masters,Non-BME,214.1,30.11209406337464
64,2017,Female,Doctorate,BME,15.18,26.92921766897286
65,2017,Female,Doctorate,Non-BME,52.36,31.664247701983548
66,2017,Male,First degree,BME,6650.29,68.47152480980675
67,2017,Male,First degree,Non-BME,11820.53,75.1232455345936
68,2017,Male,Masters,BME,279.04,63.76599634369288
69,2017,Male,Masters,Non-BME,496.91,69.88790593662536
70,2017,Male,Doctorate,BME,41.19,73.07078233102715
71,2017,Male,Doctorate,Non-BME,113.0,68.33575229801644
72,2018,Female,First degree,BME,3215.77,31.26231600723673
73,2018,Female,First degree,Non-BME,4001.48,24.55100548266604
74,2018,Female,Masters,BME,145.86,34.03331933361333
75,2018,Female,Masters,Non-BME,214.77,29.253442663143414
76,2018,Female,Doctorate,BME,16.18,24.9383477188656
77,2018,Female,Doctorate,Non-BME,55.2,34.78260869565218
78,2018,Male,First degree,BME,7070.64,68.73768399276327
79,2018,Male,First degree,Non-BME,12297.16,75.44899451733396
80,2018,Male,Masters,BME,282.72,65.96668066638668
81,2018,Male,Masters,Non-BME,519.4,70.7465573368566
82,2018,Male,Doctorate,BME,48.7,75.06165228113441
83,2018,Male,Doctorate,Non-BME,103.5,65.21739130434783
