Time,Country,Value,Detail
2000,Canada,7.82,"Percentage of patents in environmental technology, by G7 country (2000-2018)"
2001,Canada,7.68,
2002,Canada,8.48,
2003,Canada,9.51,
2004,Canada,9.38,
2005,Canada,9.67,
2006,Canada,9.74,
2007,Canada,10.19,
2008,Canada,10.38,
2009,Canada,11.2,
2010,Canada,12.01,
2011,Canada,12.62,
2012,Canada,12.33,
2013,Canada,11.05,
2014,Canada,11.89,
2015,Canada,11.29,
2016,Canada,11.07,
2017,Canada,11.77,
2018,Canada,10.27,
2000,France,6.15,
2001,France,5.82,
2002,France,6.42,
2003,France,8.01,
2004,France,7.94,
2005,France,8.07,
2006,France,9.06,
2007,France,10.45,
2008,France,10.91,
2009,France,12.51,
2010,France,12.93,
2011,France,13.68,
2012,France,14.45,
2013,France,13.82,
2014,France,13.42,
2015,France,13.1,
2016,France,11.94,
2017,France,12.37,
2018,France,12.82,
2000,Germany,9.41,
2001,Germany,9.55,
2002,Germany,9.52,
2003,Germany,9.01,
2004,Germany,9.18,
2005,Germany,9.5,
2006,Germany,10.76,
2007,Germany,11.39,
2008,Germany,13.32,
2009,Germany,14.41,
2010,Germany,15.17,
2011,Germany,15.39,
2012,Germany,14.98,
2013,Germany,14.02,
2014,Germany,14,
2015,Germany,13.47,
2016,Germany,13.42,
2017,Germany,13.92,
2018,Germany,14.29,
2000,Italy,5.47,
2001,Italy,6.43,
2002,Italy,5.85,
2003,Italy,7.6,
2004,Italy,6.94,
2005,Italy,6.88,
2006,Italy,7.58,
2007,Italy,8.94,
2008,Italy,10.3,
2009,Italy,11.72,
2010,Italy,11.01,
2011,Italy,11.06,
2012,Italy,11.71,
2013,Italy,10.53,
2014,Italy,10.26,
2015,Italy,10.15,
2016,Italy,9.9,
2017,Italy,10.15,
2018,Italy,9.38,
2000,Japan,8.49,
2001,Japan,9.03,
2002,Japan,8.64,
2003,Japan,9.24,
2004,Japan,8.99,
2005,Japan,9.19,
2006,Japan,9.48,
2007,Japan,9.9,
2008,Japan,9.75,
2009,Japan,11.27,
2010,Japan,12.56,
2011,Japan,13.47,
2012,Japan,13.04,
2013,Japan,12.64,
2014,Japan,12.42,
2015,Japan,12.2,
2016,Japan,11.83,
2017,Japan,11.67,
2018,Japan,10.41,
2000,Great Britain,5.39,
2001,Great Britain,5.57,
2002,Great Britain,5.7,
2003,Great Britain,6.38,
2004,Great Britain,6.63,
2005,Great Britain,7.03,
2006,Great Britain,8.17,
2007,Great Britain,8.61,
2008,Great Britain,9.97,
2009,Great Britain,11.34,
2010,Great Britain,12.47,
2011,Great Britain,13.05,
2012,Great Britain,12.78,
2013,Great Britain,12.31,
2014,Great Britain,11.99,
2015,Great Britain,12.21,
2016,Great Britain,11.57,
2017,Great Britain,10.71,
2018,Great Britain,11.15,
2000,United States,5.64,
2001,United States,5.91,
2002,United States,6.6,
2003,United States,6.47,
2004,United States,6.91,
2005,United States,7.39,
2006,United States,8.1,
2007,United States,9.6,
2008,United States,11.28,
2009,United States,12.39,
2010,United States,12.64,
2011,United States,12.19,
2012,United States,12.36,
2013,United States,11.5,
2014,United States,11.25,
2015,United States,11.11,
2016,United States,11.06,
2017,United States,10.41,
2018,United States,9.47,
