Y,Y,Y
24.536729420450413,59.66408268733853,69.45367294204507
6.109265411591044,23.96087117017351,29.14359542266524
14.747139165743869,37.20561092654123,43.54005167958661
14.747139165743869,34.90217792543378,40.66076042820233
34.90217792543378,69.45367294204507,78.0915467
18.586194167589593,43.54005167958661,52.177925433739425
17.050572166851317,37.781469176818064,43.54005167958661
11.867847914359594,23.38501291989669,29.14359542266524
37.781469176818064,49.29863418235515,55.057216685123706
22.905131044666007,36.34182355112593,40.66076042820233
26.264304171280966,40.66076042820233,45.939461055740196
19.92986341823559,43.54005167958661,49.29863418235515
52.177925433739425,75.21225544481362,83.37024732373575
37.781469176818064,57.93650793650799,67.05426356589149
37.781469176818064,64.65485418973799,66.57438169
40.66076042820233,60.23994093761544,61
72.33296419342936,92.48800295311926,93
68.30195644149134,86.72942045035072,92.48800295311926
83.27427094868962,112.06718346253236,118.40162421557773
92.48800295311926,113.21889996308602,121.2809155
106.88445921004063,132.7980804724991,138.55666297526764
87.88113695090445,105.15688445921009,109.7637504614249
125.88778146917684,141.43595422665194,147.1945367294205
106.88445921004063,128.76707272056112,132.7980804724991
187.50461424880032,210.05906238464382,213.41823551125879
192.11148025101517,213.41823551125879,218.69693613879662
193.26319675156884,224.93540051679588,230.21410114433374
210.5389442598745,231.26984126984124,239.33185677371722
265.2454780361757,360.7419712070875,368.89996308600956
267.5489110372831,303.2521225544482,314.1934293097084
233.5732742709487,271.00406053894426,279.6419342930971
253.15245478036175,297.4935400516796,308.4348468069398
299.2211148025101,420.7272056109265,432.24437061646364
322.83130306386124,367.9401993355482,383.2964193429309
291.1590992986342,337.2277593207825,342.9863418235511
337.2277593207825,391.93429309708375,400.5721668512366
401.72388335179033,461.0372831303064,475.4337393872277
322.83130306386124,386.17571059431526,394.81358434846805
314.76928755998523,365.0609080841639,371.7792543373938
345.8656330749354,392.5101513473607,406.33074935400515
366.0206718346253,438.00295311923213,449.5201181247693
348.1690660760428,423.6064968623108,431.7644887412329
296.34182355112586,368.89996308600956,383.2964193429309
277.91435954226654,340.1070505721668,351.1443337024732
392.5101513473607,449.5201181247693,458.1579918789221
325.71059431524543,420.7272056109265,434.6437799926172
268.12476928755996,351.62421557770386,368.89996308600956
285.97637504614255,351.0483573274271,366.0206718346253
279.0660760428202,357.38279808047247,368.89996308600956
253.72831303063862,348.7449243263197,368.42008121077885
239.33185677371722,322.83130306386124,336.7478774455518
204.78036175710596,299.2211148025101,305.5555555555555
167.34957548911038,237.8922111480251,253.72831303063862
