Group,Ethnicity,Value,Detail
All men,White,2.444594239,Line at 2.10
All women,White,1.244502514,
British men,White,1.583632871,
British women,White,0.675872638,
All men,Mixed,2.521797254,
All women,Mixed,2.168035976,
British men,Mixed,1.379159179,
British women,Mixed,1.31542544,
All men,Indian,3.092152838,
All women,Indian,2.773156166,
British men,Indian,2.154012809,
British women,Indian,2.136908868,
All men,Pakistani,2.829203755,
All women,Pakistani,1.931621452,
British men,Pakistani,2.748534896,
British women,Pakistani,2.079999995,
All men,Bangladeshi,5.066682388,
All women,Bangladeshi,3.631807357,
British men,Bangladeshi,1.301038887,
British women,Bangladeshi,1.602718206,
All men,Chinese,2.160509995,
All women,Chinese,3.6797267,
British men,Chinese,1.268277611,
British women,Chinese,2.337925455,
All men,Other Asian,3.355537216,
All women,Other Asian,2.736549511,
British men,Other Asian,2.26475265,
British women,Other Asian,1.972148116,
All men,Black African,3.172876975,
All women,Black African,1.968965671,
British men,Black African,3.298401852,
British women,Black African,1.270585809,
All men,Black Caribbean,4.210733163,
All women,Black Caribbean,2.063020997,
British men,Black Caribbean,3.423309316,
British women,Black Caribbean,0.977928064,
All men,Other Black,4.124173365,
All women,Other Black,0.030465656,
British men,Other Black,0,
British women,Other Black,0,
All men,Other,2.372704374,
All women,Other,1.538249744,
British men,Other,1.374125849,
British women,Other,0.879191923,
