,cost,x100,x300
936,468000,22.83038,28.5
937,468500,22.83125,28.53031
938,469000,22.83211,28.56096
939,469500,22.83301,28.59126
940,470000,22.83385,28.62192
941,470500,22.83473,28.65222
942,471000,22.58978,28.30547
943,471500,22.59063,28.33516
944,472000,22.59155,28.36541
945,472500,22.59237,28.39531
946,473000,22.59327,28.42556
947,473500,22.59413,28.45547
948,474000,22.59503,28.48572
949,474500,22.59591,28.51563
950,475000,22.59676,28.54553
951,475500,22.59766,28.57578
952,476000,22.5985,28.60569
953,476500,22.59941,28.63594
954,477000,22.60026,28.66584
955,477500,22.35433,28.31348
956,478000,22.3552,28.34277
957,478500,22.35608,28.37261
958,479000,22.35693,28.40212
959,479500,22.35784,28.43197
960,480000,22.35868,28.46148
961,480500,22.35961,28.49132
962,481000,22.36045,28.52083
963,481500,22.36137,28.55034
964,482000,22.36221,28.58019
965,482500,22.3631,28.6097
966,483000,22.36397,28.63954
967,483500,22.11702,28.28163
968,484000,22.11787,28.31107
969,484500,22.11876,28.33997
970,485000,22.11966,28.36941
971,485500,22.12052,28.39852
972,486000,22.12141,28.42796
973,486500,22.12229,28.45707
974,487000,22.12318,28.48652
975,487500,22.12406,28.51563
976,488000,22.12493,28.54473
977,488500,22.1258,28.57418
978,489000,22.12672,28.60329
979,489500,22.12758,28.63273
980,490000,22.12844,28.66184
981,490500,21.88049,28.29825
982,491000,21.88137,28.32675
983,491500,21.88225,28.35579
984,492000,21.88316,28.3845
985,492500,21.88402,28.41354
986,493000,21.88491,28.44225
987,493500,21.88581,28.47129
988,494000,21.88666,28.5
989,494500,21.88756,28.52871
990,495000,21.88844,28.55775
991,495500,21.88936,28.58646
992,496000,21.8902,28.6155
993,496500,21.89113,28.64421
994,497000,21.6421,28.27501
995,497500,21.64301,28.30311
996,498000,21.64388,28.33175
997,498500,21.64479,28.36006
998,499000,21.64567,28.3887
999,499500,21.64658,28.41701
1000,500000,21.64744,28.44565
