,Dataset,Series Key,Series,Observation Date,Observation Value,Unit,Observation Status,Days in months,Electricity Demand (SBP),Generation Capacity
59,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2017-06-30,11458.23,GWh,Normal,30,15914.208333333334,19020.0
60,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2017-07-31,12496.64,GWh,Normal,31,16796.559139784946,19415.5
61,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2017-08-31,12754.283,GWh,Normal,31,17142.853494623654,19811.0
62,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2017-09-30,11489.02,GWh,Normal,30,15956.972222222223,20206.5
63,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2017-10-31,10017.29,GWh,Normal,31,13464.099462365592,20602.0
64,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2017-11-30,7370.22,GWh,Normal,30,10236.416666666666,20997.5
65,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2017-12-31,7690.24,GWh,Normal,31,10336.344086021505,21393.0
66,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2018-01-31,7982.06,GWh,Normal,31,10728.575268817205,21788.5
67,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2018-02-28,6948.87,GWh,Normal,28,10340.580357142857,22184.0
68,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2018-03-31,8740.91,GWh,Normal,31,11748.53494623656,22579.5
69,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2018-04-30,10999.59,GWh,Normal,30,15277.208333333334,22975.0
70,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2018-05-31,12098.98,GWh,Normal,31,16262.069892473119,23370.5
71,Generation of Electricity by Sector,TS_GP_RLS_ELECGEN_M.E_001000,Total Electricity Generation,2018-06-30,12913.76,GWh,Normal,30,17935.777777777777,23766.0
