,cat,subcat,a,value
0,Building codes,Environmental effectiveness,neg,0.0
1,Building codes,Environmental effectiveness,o,0.15
2,Building codes,Environmental effectiveness,pos,0.85
3,Building codes,Environmental effectiveness,total,20.0
4,Building codes,Technological effectiveness,total,0.0
5,Building codes,Cost-related outcomes,neg,0.0
6,Building codes,Cost-related outcomes,o,0.0
7,Building codes,Cost-related outcomes,pos,1.0
8,Building codes,Cost-related outcomes,total,8.0
9,Building codes,Innovation incentives,total,0.0
10,Building codes,Competitiveness,neg,0.0
11,Building codes,Competitiveness,o,0.5
12,Building codes,Competitiveness,pos,0.5
13,Building codes,Competitiveness,total,2.0
14,Building codes,Distributional outcomes,neg,0.0
15,Building codes,Distributional outcomes,o,0.0
16,Building codes,Distributional outcomes,pos,1.0
17,Building codes,Distributional outcomes,total,3.0
18,Building codes,Other social outcomes,neg,0.0
19,Building codes,Other social outcomes,o,0.0
20,Building codes,Other social outcomes,pos,1.0
21,Building codes,Other social outcomes,total,1.0
22,Renewable Portfolio Standards,Environmental effectiveness,neg,0.0
23,Renewable Portfolio Standards,Environmental effectiveness,o,0.14285714285714285
24,Renewable Portfolio Standards,Environmental effectiveness,pos,0.8571428571428571
25,Renewable Portfolio Standards,Environmental effectiveness,total,14.0
26,Renewable Portfolio Standards,Technological effectiveness,neg,0.03333333333333333
27,Renewable Portfolio Standards,Technological effectiveness,o,0.5
28,Renewable Portfolio Standards,Technological effectiveness,pos,0.4666666666666667
29,Renewable Portfolio Standards,Technological effectiveness,total,30.0
30,Renewable Portfolio Standards,Cost-related outcomes,neg,0.3181818181818182
31,Renewable Portfolio Standards,Cost-related outcomes,o,0.2727272727272727
32,Renewable Portfolio Standards,Cost-related outcomes,pos,0.4090909090909091
33,Renewable Portfolio Standards,Cost-related outcomes,total,22.0
34,Renewable Portfolio Standards,Innovation incentives,neg,0.0
35,Renewable Portfolio Standards,Innovation incentives,o,0.7777777777777778
36,Renewable Portfolio Standards,Innovation incentives,pos,0.2222222222222222
37,Renewable Portfolio Standards,Innovation incentives,total,9.0
38,Renewable Portfolio Standards,Competitiveness,neg,0.0
