Q,value
2018Q1,38.9
2018Q2,35.9
2018Q3,30.1
2018Q4,43.7
2019Q1,26.1
2019Q2,16.4
2019Q3,146
2019Q4,25.3
2020Q1,22.4
2020Q2,12
2020Q3,25.7
2020Q4,64.8
2021Q1,53.1
2021Q2,58
2021Q3,61.1
2021Q4,39.9
