,year,variable,value
0,1902,Food (per capita),0.20665083135391918
1,1902,Industrial output (per capita),0.03392220902612817
2,1902,Pollution,0.0
3,1902,Population,0.1104513064133019
4,1902,Resources,1.0
5,1903,Food (per capita),0.20665083135391918
6,1903,Industrial output (per capita),0.035777909738717244
7,1903,Pollution,0.0
8,1903,Population,0.1104513064133019
9,1903,Resources,1.0
10,1904,Food (per capita),0.20665083135391918
11,1904,Industrial output (per capita),0.037633610451306324
12,1904,Pollution,0.0
13,1904,Population,0.1104513064133019
14,1904,Resources,1.0
15,1905,Food (per capita),0.20665083135391918
16,1905,Industrial output (per capita),0.039489311163895396
17,1905,Pollution,0.0
18,1905,Population,0.11070323184337459
19,1905,Resources,1.0
20,1906,Food (per capita),0.20665083135391918
21,1906,Industrial output (per capita),0.041345011876484476
22,1906,Pollution,0.0
23,1906,Population,0.11120708270351998
24,1906,Resources,1.0
25,1907,Food (per capita),0.20665083135391918
26,1907,Industrial output (per capita),0.04320071258907354
27,1907,Pollution,0.0
28,1907,Population,0.11196285899373803
29,1907,Resources,1.0
30,1908,Food (per capita),0.20665083135391918
31,1908,Industrial output (per capita),0.04505641330166262
32,1908,Pollution,0.0
33,1908,Population,0.11271863528395609
34,1908,Resources,1.0
35,1909,Food (per capita),0.20665083135391918
36,1909,Industrial output (per capita),0.046912114014251695
37,1909,Pollution,0.0
38,1909,Population,0.11347441157417415
39,1909,Resources,1.0
40,1910,Food (per capita),0.20690275678399192
41,1910,Industrial output (per capita),0.048767814726840775
42,1910,Pollution,0.0
43,1910,Population,0.11423018786439221
44,1910,Resources,1.0
45,1911,Food (per capita),0.20740660764413732
46,1911,Industrial output (per capita),0.050623515439429854
47,1911,Pollution,0.0
48,1911,Population,0.11498596415461028
49,1911,Resources,1.0
50,1912,Food (per capita),0.2081623839343554
51,1912,Industrial output (per capita),0.05247921615201892
52,1912,Pollution,0.0
53,1912,Population,0.11574174044482836
54,1912,Resources,1.0
55,1913,Food (per capita),0.20891816022457355
56,1913,Industrial output (per capita),0.054334916864608
57,1913,Pollution,0.0
58,1913,Population,0.11649751673504642
59,1913,Resources,1.0
60,1914,Food (per capita),0.20967393651479163
61,1914,Industrial output (per capita),0.05619061757719707
62,1914,Pollution,0.0
63,1914,Population,0.11725329302526448
64,1914,Resources,1.0
65,1915,Food (per capita),0.21042971280500974
66,1915,Industrial output (per capita),0.058046318289786146
67,1915,Pollution,0.0
68,1915,Population,0.11800906931548254
69,1915,Resources,1.0
70,1916,Food (per capita),0.21118548909522786
71,1916,Industrial output (per capita),0.05990201900237522
72,1916,Pollution,0.0
73,1916,Population,0.11884282252453264
74,1916,Resources,1.0
75,1917,Food (per capita),0.21194126538544597
76,1917,Industrial output (per capita),0.06182295040667956
77,1917,Pollution,0.0
78,1917,Population,0.11975455265241479
79,1917,Resources,1.0
80,1918,Food (per capita),0.21269704167566408
81,1918,Industrial output (per capita),0.06380911250269915
82,1918,Pollution,0.0
83,1918,Population,0.120744259699129
84,1918,Resources,1.0
