,year,value,variable
38,1898.1203007518795,0.1065793255775253,Population
0,1899.3730169413304,1.0001010084786353,Resources
0,1899.9201007634172,0.0415086652946202,Industrial output (per capita)
0,1900.1389342922523,0.2033179165508191,Food (per capita)
0,1900.6860181143395,0.0022132101851568,Pollution
1,1904.95327192662,0.9993654767593356,Resources
0,1904.95327192662,0.1146510117434744,Population
1,1905.5003557487069,0.0456245175927798,Industrial output (per capita)
1,1905.719189277541,0.208650920815489,Food (per capita)
1,1906.2662730996287,0.0033148889813443,Pollution
2,1910.533526911909,0.9977457874794576,Resources
1,1910.533526911909,0.1201734783425542,Population
2,1911.080610733996,0.0524847030984488,Industrial output (per capita)
2,1911.299444262831,0.2152814550067222,Food (per capita)
2,1911.8465280849184,0.004829940143517,Pollution
2,1916.113781897198,0.1258739247103216,Population
3,1916.113781897198,0.9952993534676104,Resources
3,1916.6608657192853,0.0615552825055636,Industrial output (per capita)
3,1916.87969924812,0.2220908522409292,Food (per capita)
3,1917.4267830702076,0.0064081454171595,Pollution
3,1921.694036882488,0.1317498902969794,Population
4,1921.694036882488,0.9919917270266284,Resources
4,1922.2411207045748,0.0725549329539404,Industrial output (per capita)
4,1922.4599542334092,0.226533074387874,Food (per capita)
4,1923.0070380554969,0.0078026296392532,Pollution
4,1927.2742918677768,0.1378604282976683,Population
5,1927.2742918677768,0.9877425301964587,Resources
5,1927.821375689864,0.0851621426033686,Industrial output (per capita)
5,1928.040209218699,0.2294375160023838,Food (per capita)
5,1928.587293040786,0.0095128844186963,Pollution
5,1932.854546853066,0.144249828608744,Population
6,1932.854546853066,0.9823967483398578,Resources
6,1933.4016306751528,0.0992506032309087,Industrial output (per capita)
6,1933.620464203988,0.2312224074590186,Food (per capita)
6,1934.1675480260756,0.0112862933096091,Pollution
6,1938.4348018383555,0.150977964608612,Population
7,1938.4348018383555,0.975845297082468,Resources
7,1938.981885660443,0.1146136286535683,Industrial output (per capita)
7,1939.2007191892772,0.2325365137210597,Food (per capita)
