,Policy,Average,Min,Max
0,Behavioral Energy Efficiency,-190.0,,
1,Reforestation,5.5,1.0,10.0
2,Clean Power Plan,11.0,,
3,Methane Flaring Regulation,20.0,,
4,EU ETS,30.62,8.56,52.68
5,Gasoline Tax,32.5,18.0,47.0
6,Reducing Federal Coal Leasing,50.5,33.0,68.0
7,Soil Management,57.0,,
8,Agricultural Emissions Policies,57.5,50.0,65.0
9,Livestock Management Policies,71.0,,
10,National Clean Energy Standard,80.5,51.0,110.0
11,Renewable Portfolio Standards,95.0,0.0,190.0
12,Concentrating Solar Power Expansions (China & India),100.0,,
13,Renewable Fuel Subsidies,100.0,,
14,Wind Energy Subsidies,131.0,2.0,260.0
15,Corn Starch Ethanol (US),146.0,-18.0,310.0
16,CAFE Standards,179.0,48.0,310.0
17,Biodiesel,200.0,150.0,250.0
18,Energy Efficiency Programs (China),275.0,250.0,300.0
19,Cash for Clunkers,345.0,270.0,420.0
20,Weatherization Assistance Program,350.0,,
21,Dedicated Battery Electric Vehicle Subsidy,495.0,350.0,640.0
22,Solar Pholtaics Subsidies,1120.0,140.0,2100.0
23,Low Carbon Fuel Standard,1500.0,100.0,2900.0
