,Processor,Transistor count,Year,Designer
0,"MP944 (20-bit, 6-chip, 28 chips total)",74442.0,1970,Other
1,"Intel 4004 (4-bit, 16-pin)",2250.0,1971,Intel
2,"TMX 1795 (?-bit, 24-pin)",3078.0,1971,Other
3,"Intel 8008 (8-bit, 18-pin)",3500.0,1972,Intel
4,"NEC μCOM-4 (4-bit, 42-pin)",2500.0,1973,Other
5,Toshiba TLCS-12 (12-bit),11000.0,1973,Other
6,"Intel 4040 (4-bit, 16-pin)",3000.0,1974,Intel
7,"Motorola 6800 (8-bit, 40-pin)",4100.0,1974,Other
8,"Intel 8080 (8-bit, 40-pin)",6000.0,1974,Intel
9,"TMS 1000 (4-bit, 28-pin)",8000.0,1974,Other
10,"MOS Technology 6502 (8-bit, 40-pin)",4528.0,1975,Other
11,"Intersil IM6100 (12-bit, 40-pin; clone of PDP-8)",4000.0,1975,Other
12,"CDP 1801 (8-bit, 2-chip, 40-pin)",5000.0,1975,Other
13,"RCA 1802 (8-bit, 40-pin)",5000.0,1976,Other
14,"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)",8500.0,1976,Other
15,"Intel 8085 (8-bit, 40-pin)",6500.0,1976,Intel
16,TMS9900 (16-bit),8000.0,1976,Other
17,Bellmac-8 (8-bit),7000.0,1977,Other
18,"Motorola 6809 (8-bit with some 16-bit features, 40-pin)",9000.0,1978,Other
19,"Intel 8086 (16-bit, 40-pin)",29000.0,1978,Intel
20,Zilog Z8000 (16-bit),17500.0,1979,Other
21,"Intel 8088 (16-bit, 8-bit data bus)",29000.0,1979,Intel
22,"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit ALU)",68000.0,1979,Other
23,"Intel 8051 (8-bit, 40-pin)",50000.0,1980,Intel
24,WDC 65C02,11500.0,1981,Other
25,ROMP (32-bit),45000.0,1981,IBM
26,"Intel 80186 (16-bit, 68-pin)",55000.0,1982,Intel
27,"Intel 80286 (16-bit, 68-pin)",134000.0,1982,Intel
28,WDC 65C816 (8/16-bit),22000.0,1983,Other
29,NEC V20,63000.0,1984,Other
30,Motorola 68020 (32-bit; 114 pins used),190000.0,1984,Other
31,"Intel 80386 (32-bit, 132-pin; no cache)",275000.0,1985,Intel
32,ARM 1 (32-bit; no cache),25000.0,1985,ARM
33,Novix NC4016 (16-bit),16000.0,1985,Other
34,SPARC MB86900 (32-bit; no cache),110000.0,1986,Fujitsu
35,NEC V60[36] (32-bit; no cache),375000.0,1986,Other
36,"ARM 2 (32-bit, 84-pin; no cache)",27000.0,1986,ARM
37,Z80000 (32-bit; very small cache),91000.0,1986,Other
38,NEC V70[36] (32-bit; no cache),385000.0,1987,Other
39,Hitachi Gmicro/200[38],730000.0,1987,Other
40,"Motorola 68030 (32-bit, very small caches)",273000.0,1987,Other
41,TI Explorer's 32-bit Lisp machine chip,553000.0,1987,Other
42,DEC WRL MultiTitan,180000.0,1988,Other
43,"Intel i960 (32-bit, 33-bit memory subsystem, no cache)",250000.0,1988,Intel
44,"Intel i960CA (32-bit, cache)",600000.0,1989,Intel
45,"Intel i860 (32/64-bit, 128-bit SIMD, cache, VLIW)",1000000.0,1989,Intel
46,"Intel 80486 (32-bit, 4 KB cache)",1180235.0,1989,Intel
47,"ARM 3 (32-bit, 4 KB cache)",310000.0,1989,ARM
48,"POWER1 (9-chip module, 72 kB of cache)",6900000.0,1990,IBM
49,"Motorola 68040 (32-bit, 8 KB caches)",1200000.0,1990,Other
50,"R4000 (64-bit, 16 KB of caches)",1350000.0,1991,Other
51,"ARM 6 (32-bit, no cache for this 60 variant)",35000.0,1991,ARM
52,"Hitachi SH-1 (32-bit, no cache)",600000.0,1992,Other
53,"Intel i960CF (32-bit, cache)",900000.0,1992,Intel
54,"Alpha 21064 (64-bit, 290-pin; 16 KB of caches)",1680000.0,1992,Other
55,"Hitachi HARP-1 (32-bit, cache)",2800000.0,1993,Other
56,"Pentium (32-bit, 16 KB of caches)",3100000.0,1993,Intel
57,"POWER2 (8-chip module, 288 kB of cache)",23037000.0,1993,IBM
58,ARM700 (32-bit; 8 KB cache),578977.0,1994,ARM
59,"MuP21 (21-bit,[51] 40-pin; includes video)",7000.0,1994,Other
60,"Motorola 68060 (32-bit, 16 KB of caches)",2500000.0,1994,Other
