,year,ind,value
0,1770,Real GDP,0.5881675057855226
1,1770,Employment,-0.460244422779618
2,1770,Average hours,-0.642388809716876
3,1770,Productivity,-0.5220575929544367
4,1771,Real GDP,0.3769151024659566
5,1771,Employment,-0.41738976351337553
6,1771,Average hours,-0.6423888097168768
7,1771,Productivity,-0.6868894115923669
8,1772,Real GDP,0.3996307455180371
9,1772,Employment,-0.47672032226674793
10,1772,Average hours,-0.6423888097168764
11,1772,Productivity,-0.7220792886330345
12,1773,Real GDP,0.6107664050284465
13,1773,Employment,-0.6196624304916564
14,1773,Average hours,-0.6423888097168746
15,1773,Productivity,-0.6553686379885135
16,1774,Real GDP,0.39257289850232036
17,1774,Employment,-0.6228385076255789
18,1774,Average hours,-0.642388809716873
19,1774,Productivity,-0.8749382563464934
20,1775,Real GDP,0.7931520481288541
21,1775,Employment,-0.7012881372901467
22,1775,Average hours,-0.6423888097168737
23,1775,Productivity,-0.5579699957611319
24,1776,Real GDP,0.98346864011016
25,1776,Employment,-0.7225665334182972
26,1776,Average hours,-0.6423888097168744
27,1776,Productivity,-0.3921713053252266
28,1777,Real GDP,1.2038699582197567
29,1777,Employment,-0.7747501245798176
30,1777,Average hours,-0.6423888097168738
31,1777,Productivity,-0.2268551558987862
32,1778,Real GDP,1.0420185657053531
33,1778,Employment,-0.7115705873144266
34,1778,Average hours,-0.6423888097168738
35,1778,Productivity,-0.32475634611735626
36,1779,Real GDP,0.44955549042287446
37,1779,Employment,-0.5259756256045744
38,1779,Average hours,-0.642388809716876
39,1779,Productivity,-0.7220913699529742
40,1780,Real GDP,1.179641940976844
41,1780,Employment,-0.6169127791113234
42,1780,Average hours,-0.6423888097168758
43,1780,Productivity,-0.0910889578181251
44,1781,Real GDP,1.2777035483156698
45,1781,Employment,-0.6634611187456289
46,1781,Average hours,-0.6423888097168755
47,1781,Productivity,-0.041028551972435864
48,1782,Real GDP,1.433521103501597
49,1782,Employment,-0.683166888703353
50,1782,Average hours,-0.6423888097168778
51,1782,Productivity,0.09458037147817247
52,1783,Real GDP,1.2037463952572172
53,1783,Employment,-0.6814846196338156
54,1783,Average hours,-0.6423888097168791
55,1783,Productivity,-0.1305201375235782
56,1784,Real GDP,1.4656432314057728
57,1784,Employment,-0.6992794917664993
58,1784,Average hours,-0.6423888097168808
59,1784,Productivity,0.11159586236494394
60,1785,Real GDP,1.0764531616346615
61,1785,Employment,-0.6273781401134293
62,1785,Average hours,-0.642388809716882
63,1785,Productivity,-0.20050483723702803
64,1786,Real GDP,0.9274655421519622
65,1786,Employment,-0.631944358570499
66,1786,Average hours,-0.64238880971688
67,1786,Productivity,-0.35118793099559625
68,1787,Real GDP,0.4717134573118094
69,1787,Employment,-0.5824136660265931
70,1787,Average hours,-0.6423888097168813
71,1787,Productivity,-0.7516690890157706
72,1788,Real GDP,0.5185565459064393
73,1788,Employment,-0.6237121377963659
74,1788,Average hours,-0.6423888097168826
75,1788,Productivity,-0.7459366820835609
76,1789,Real GDP,0.7697310402812867
77,1789,Employment,-0.7532982542589399
78,1789,Average hours,-0.6423888097168813
79,1789,Productivity,-0.6263193020021701
80,1790,Real GDP,1.0718107516904927
81,1790,Employment,-0.8973025969150745
82,1790,Average hours,-0.6423888097168806
83,1790,Productivity,-0.47793027352294376
84,1791,Real GDP,0.8297732644521079
85,1791,Employment,-0.8576097967500175
86,1791,Average hours,-0.6423888097168801
87,1791,Productivity,-0.6766217451403546
88,1792,Real GDP,1.3312759256507498
89,1792,Employment,-0.9991091478294095
90,1792,Average hours,-0.6423888097168794
91,1792,Productivity,-0.32270159277902755
92,1793,Real GDP,1.2205947531443146
93,1793,Employment,-0.8587052039119539
94,1793,Average hours,-0.6423888097168786
95,1793,Productivity,-0.29461127394937714
96,1794,Real GDP,0.8575024219957388
97,1794,Employment,-0.6698683486230431
98,1794,Average hours,-0.6423888097168782
99,1794,Productivity,-0.4703753437673351
100,1795,Real GDP,2.013379904698543
101,1795,Employment,-1.0106938454205465
102,1795,Average hours,-0.6423888097168785
103,1795,Productivity,0.31252074787008527
104,1796,Real GDP,2.0179197316257698
105,1796,Employment,-0.986425287787301
106,1796,Average hours,-0.64238880971688
107,1796,Productivity,0.34094467417989094
108,1797,Real GDP,2.1118139462230294
109,1797,Employment,-0.9631837409360964
110,1797,Average hours,-0.6423888097168788
111,1797,Productivity,0.45643966256613994
112,1798,Real GDP,2.2308309690883616
113,1798,Employment,-1.0715634469791897
114,1798,Average hours,-0.6423888097168773
115,1798,Productivity,0.46742578445017735
116,1799,Real GDP,2.269840730121314
117,1799,Employment,-1.0251392599775875
118,1799,Average hours,-0.6423888097168773
119,1799,Productivity,0.5519994575033315
120,1800,Real GDP,1.9982988191081386
121,1800,Employment,-0.9717000611795641
122,1800,Average hours,-0.642388809716915
123,1800,Productivity,0.34204641824345206
124,1801,Real GDP,2.0453630442831994
125,1801,Employment,-0.9314599912831492
126,1801,Average hours,-0.5809430739709504
127,1801,Productivity,0.4894941914825305
128,1802,Real GDP,1.759495882268315
129,1802,Employment,-0.81819587050196
130,1802,Average hours,-0.5194973382249871
131,1802,Productivity,0.38292172738189734
132,1803,Real GDP,1.7123195031880278
133,1803,Employment,-0.7822414254949356
134,1803,Average hours,-0.45805160247902466
135,1803,Productivity,0.43174104967761184
136,1804,Real GDP,2.0268496054073193
