,Country,Amount,Measure,Year
0,CRI,15.79362739347,perc_total,2017
1,CRI,18.222235611998,perc_total,2009
2,CRI,15.293161955044,perc_total,2007
3,CRI,6.9358228182051,GDP_share,2017
4,CRI,6.3959181398316,GDP_share,2009
5,CRI,4.7219756889336,GDP_share,2007
6,IDN,33.979084795599,perc_total,2017
7,IDN,0.0,perc_total,2009
8,IDN,0.0,perc_total,2007
9,IDN,7.5339226073607,GDP_share,2017
10,IDN,0.0,GDP_share,2009
11,IDN,0.0,GDP_share,2007
12,COL,25.297053350185,perc_total,2017
13,COL,0.0,perc_total,2009
14,COL,0.0,perc_total,2007
15,COL,11.049952510014,GDP_share,2017
16,COL,0.0,GDP_share,2009
17,COL,0.0,GDP_share,2007
18,ZAF,0.0,perc_total,2017
19,ZAF,0.0,perc_total,2009
20,ZAF,0.0,perc_total,2007
21,ZAF,11.740173712597,GDP_share,2017
22,ZAF,11.893995917337,GDP_share,2009
23,ZAF,11.357135475577,GDP_share,2007
24,BRA ,24.701716366428,perc_total,2017
25,BRA ,26.119665044599,perc_total,2009
26,BRA ,24.340755172232,perc_total,2007
27,BRA ,16.448719963684,GDP_share,2017
28,BRA ,16.007490467909,GDP_share,2009
29,BRA ,15.071296052045,GDP_share,2007
30,NLD,45.804989385983,perc_total,2017
31,NLD,45.324413680837,perc_total,2009
32,NLD,45.559658505695,perc_total,2007
33,NLD,19.468338561396,GDP_share,2017
34,NLD,21.566892110325,GDP_share,2009
35,NLD,19.288886735468,GDP_share,2007
36,FIN,32.869011902014,perc_total,2017
37,FIN,31.591477685417,perc_total,2009
38,FIN,30.777776505217,perc_total,2007
39,FIN,17.811266146178,GDP_share,2017
40,FIN,17.298885813875,GDP_share,2009
41,FIN,14.402628306822,GDP_share,2007
42,SWE,32.775361918749,perc_total,2017
43,SWE,30.965561286247,perc_total,2009
44,SWE,29.333604643085,perc_total,2007
45,SWE,16.205570283957,GDP_share,2017
46,SWE,16.319031934603,GDP_share,2009
47,SWE,14.455178957298,GDP_share,2007
48,JPN,41.645870880185,perc_total,2017
49,JPN,37.754760354452,perc_total,2009
50,JPN,39.103274115181,perc_total,2007
51,JPN,16.133639099805,GDP_share,2017
52,JPN,15.363502832476,GDP_share,2009
53,JPN,13.68495670959,GDP_share,2007
54,DEU,35.274777249401,perc_total,2017
55,DEU,31.449336527388,perc_total,2009
56,DEU,30.180215760818,perc_total,2007
57,DEU,15.497324049382,GDP_share,2017
58,DEU,14.962402653357,GDP_share,2009
59,DEU,12.922374792598,GDP_share,2007
60,ISR,37.549911420657,perc_total,2017
61,ISR,33.143614193814,perc_total,2009
62,ISR,34.521968637588,perc_total,2007
63,ISR,14.837130870127,GDP_share,2017
64,ISR,14.18334042747,GDP_share,2009
65,ISR,14.542554784072,GDP_share,2007
66,AUS,40.19547052094,perc_total,2017
67,AUS,35.716300095941,perc_total,2009
68,AUS,35.185085376908,perc_total,2007
69,AUS,14.756420907357,GDP_share,2017
70,AUS,13.70413407203,GDP_share,2009
71,AUS,12.19913480952,GDP_share,2007
72,NZL,37.970948348246,perc_total,2017
73,NZL,37.020205741592,perc_total,2009
74,NZL,37.134825812706,perc_total,2007
75,NZL,14.736737675711,GDP_share,2017
76,NZL,15.459251689824,GDP_share,2009
77,NZL,14.225793969365,GDP_share,2007
78,NOR,29.232456472541,perc_total,2017
79,NOR,28.408172523511,perc_total,2009
80,NOR,27.018759818871,perc_total,2007
81,NOR,14.60008794231,GDP_share,2017
82,NOR,13.084701451712,GDP_share,2009
83,NOR,11.192262442015,GDP_share,2007
84,FRA,25.654950373004,perc_total,2017
85,FRA,26.74805570791,perc_total,2009
86,FRA,26.805561271786,perc_total,2007
87,FRA,14.485466446917,GDP_share,2017
88,FRA,15.287008720207,GDP_share,2009
89,FRA,14.090482960399,GDP_share,2007
90,HUN,30.185401040461,perc_total,2017
91,HUN,27.45800588208,perc_total,2009
92,HUN,26.768251739154,perc_total,2007
93,HUN,14.165949652348,GDP_share,2017
94,HUN,13.849161183267,GDP_share,2009
95,HUN,13.348658231586,GDP_share,2007
96,BEL,27.091222782764,perc_total,2017
97,BEL,26.38523181841,perc_total,2009
98,BEL,25.616716660564,perc_total,2007
99,BEL,14.122860047658,GDP_share,2017
100,BEL,14.287643453157,GDP_share,2009
101,BEL,12.359807085615,GDP_share,2007
102,ISL,32.242879548209,perc_total,2017
103,ISL,33.174132830978,perc_total,2009
104,ISL,37.190894437648,perc_total,2007
105,ISL,13.955330231628,GDP_share,2017
106,ISL,15.720812373092,GDP_share,2009
107,ISL,15.095761416445,GDP_share,2007
108,EST,35.407658216246,perc_total,2017
109,EST,32.607260726073,perc_total,2009
110,EST,38.463760788704,perc_total,2007
111,EST,13.904656217792,GDP_share,2017
112,EST,15.016403168921,GDP_share,2009
113,EST,13.111830030157,GDP_share,2007
114,SVK,34.443437799611,perc_total,2017
115,SVK,34.26479300004,perc_total,2009
116,SVK,34.919690712246,perc_total,2007
117,SVK,13.84490158581,GDP_share,2017
118,SVK,15.105416468607,GDP_share,2009
119,SVK,12.68954384125,GDP_share,2007
120,DNK,26.602916760153,perc_total,2017
121,DNK,25.612754663961,perc_total,2009
122,DNK,25.407100396837,perc_total,2007
123,DNK,13.609452785429,GDP_share,2017
124,DNK,14.480504812899,GDP_share,2009
125,DNK,12.599742932809,GDP_share,2007
126,CAN,32.310557252847,perc_total,2017
127,CAN,33.217312326921,perc_total,2009
128,CAN,32.3844660507,perc_total,2007
129,CAN,13.254958655303,GDP_share,2017
130,CAN,14.709985273659,GDP_share,2009
131,CAN,12.741132130963,GDP_share,2007
132,AUT,26.941204295055,perc_total,2017
133,AUT,25.546082523525,perc_total,2009
134,AUT,25.166224585771,perc_total,2007
135,AUT,13.248242757614,GDP_share,2017
136,AUT,13.831875419597,GDP_share,2009
137,AUT,12.392883856448,GDP_share,2007
138,KOR,40.107771975688,perc_total,2017
139,KOR,41.777155747353,perc_total,2009
140,KOR,41.492521403757,perc_total,2007
141,KOR,13.012927369042,GDP_share,2017
142,KOR,14.573722605682,GDP_share,2009
143,KOR,12.31277638183,GDP_share,2007
144,GBR,31.727195981144,perc_total,2017
145,GBR,32.675756138143,perc_total,2009
146,GBR,31.436868843073,perc_total,2007
147,GBR,13.000303957448,GDP_share,2017
148,GBR,15.45803997234,GDP_share,2009
149,GBR,12.858479268114,GDP_share,2007
150,LUX,29.175820777071,perc_total,2017
151,LUX,29.796615246368,perc_total,2009
152,LUX,29.503333167327,perc_total,2007
