,year,state,private,bursary
0,2003,6011.712290013365,8945.050230409566,9706.679464000637
1,2004,6261.51936907887,9094.905539192829,9839.803856562283
2,2005,6631.669335024138,9413.020490936766,10112.290344459698
3,2006,6879.88375769126,9830.679103505516,10549.402020820351
4,2007,7169.08542242711,10470.006905276467,11322.903323619132
5,2008,7505.618290882897,10900.93430897747,11920.84818376221
6,2009,7802.401463356549,11077.905031028089,12305.219375977791
7,2010,7963.910302056538,11343.542449758728,12639.892804287438
8,2011,7615.934470591014,11670.732122083069,12999.153165671407
9,2012,7208.926006732292,11927.294820233301,13309.730003229153
10,2013,7004.699872687795,12179.957478833094,13581.858626623169
11,2014,6983.507510837221,12473.437241018895,13928.026775836226
12,2015,7099.555855297632,12809.331847953314,14262.269215253944
13,2016,7032.928292067525,13068.503598094052,14610.972964666285
14,2017,6858.022211469343,13204.938039868293,14847.43414525706
15,2018,6833.992731587181,13319.810913792113,15018.045851814424
16,2019,6902.259098958893,13497.442770116913,15238.44823114308
17,2020,7029.406144042574,13709.933583715267,15471.35957145486
