Energy use (Case Reference)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=1-IEO2019&region=0-0&cases=Reference&start=2010&end=2050&f=A&linechart=~Reference-d080819.11-1-IEO2019~Reference-d080819.25-1-IEO2019&ctype=linechart&sourcekey=0
01:32:50 GMT+0100 (British Summer Time)
Source: U.S. Energy Information Administration
Year,OECD: Total OECD quad Btu,Non-OECD: Total Non-OECD quad Btu
2050,286.816,623.8824
2049,284.6088,614.4289
2048,282.6116,605.4031
2047,280.5958,595.7719
2046,278.4691,586.5982
2045,276.486,577.2179
2044,274.6428,567.0924
2043,273.0057,556.894
2042,271.3875,546.804
2041,269.7337,536.8521
2040,268.1732,526.7052
2039,266.5788,518.5304
2038,265.0725,510.4209
2037,263.8339,501.9892
2036,262.6472,493.6997
2035,261.3745,485.7819
2034,260.1996,477.771
2033,259.2723,470.2897
2032,258.4918,462.684
2031,257.9954,455.4815
2030,257.2477,447.9256
2029,256.369,440.6043
2028,255.2374,433.2966
2027,254.2294,426.1523
2026,253.3604,418.9836
2025,252.8175,412.0994
2024,252.4176,406.1304
2023,251.8939,400.6029
2022,251.5003,395.3838
2021,251.0728,390.3047
2020,250.3128,384.7196
2019,249.7916,377.1849
2018,249.4171,370.571
2017,246.5396,362.9966
2016,240.3993,350.5848
2015,239.1221,347.132
2014,238.7762,343.9578
2013,239.9006,336.7234
2012,237.3892,328.6067
2011,239.8771,313.1417
2010,241.9063,295.5912
