,Unnamed: 0,local_authorities,y_axis_allcat_rank,x_axis_imd_rank,lad_id,country,levelling_up_categorisation,region,supergroup_name,quadrant,label_2_highest_lowest
0,0,Haringey,11,37,E09000014,England,2,London,London Cosmopolitan,quadrant 1,lab
1,1,Great Yarmouth,26,24,E07000145,England,1,East,Countryside Living,quadrant 1,lab
2,2,Luton,8,52,E06000032,England,1,East,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
3,3,Tendring,29,32,E07000076,England,1,East,Countryside Living,quadrant 1,nolab
4,4,Barking and Dagenham,58,5,E09000002,England,1,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
5,5,Brent,19,49,E09000005,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
6,6,Torridge,4,67,E07000046,England,1,South West,Countryside Living,quadrant 1,nolab
7,7,Newham,66,12,E09000025,England,1,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
8,8,Waltham Forest,34,45,E09000031,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
9,9,Slough,7,73,E06000039,England,3,South East,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
10,10,East Lindsey,57,30,E07000137,England,1,East Midlands,Countryside Living,quadrant 1,nolab
11,11,Blackpool,88,1,E06000009,England,1,North West,Services and Industrial Legacy,quadrant 1,nolab
12,12,Liverpool,86,4,E08000012,England,1,North West,"Business, Education and Heritage Centres",quadrant 1,nolab
13,13,Enfield,33,59,E09000010,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
14,14,Folkestone and Hythe,20,84,E07000112,England,1,South East,Countryside Living,quadrant 1,nolab
15,15,Cornwall,27,83,E06000052,England,2,South West,Countryside Living,quadrant 1,nolab
16,16,Coventry,43,81,E08000026,England,2,West Midlands,"Business, Education and Heritage Centres",quadrant 1,nolab
17,17,Gravesham,6,119,E07000109,England,1,South East,Urban Settlements,quadrant 1,nolab
18,18,North Devon,3,123,E07000043,England,3,South West,Countryside Living,quadrant 1,nolab
19,19,Nottingham,119,10,E06000018,England,1,East Midlands,"Business, Education and Heritage Centres",quadrant 1,nolab
20,20,Lewisham,95,35,E09000023,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
21,21,Lambeth,93,42,E09000022,England,3,London,London Cosmopolitan,quadrant 1,nolab
22,22,Kensington and Chelsea,13,122,E09000020,England,2,London,London Cosmopolitan,quadrant 1,nolab
23,23,Wellingborough,16,124,E07000156,England,1,East Midlands,Urban Settlements,quadrant 1,nolab
24,24,Thurrock,25,116,E06000034,England,2,East,Urban Settlements,quadrant 1,nolab
25,25,North Norfolk,52,94,E07000147,England,2,East,Countryside Living,quadrant 1,nolab
