,Country,Function,Ammount
0,Finland,Defence,4.568018853733139
1,Finland,Public order and safety,2.151130722559294
2,Finland,Economic affairs,13.267813267813267
3,Finland,Health,22.827558541844255
4,Finland,Education,11.557940129368701
5,Finland,Social protection,18.332246903675475
6,Finland,Other,27.29529158100587
7,France,Defence,6.323427360936948
8,France,Public order and safety,2.488769037850473
9,France,Economic affairs,12.375363712730858
10,France,Health,38.54685350442543
11,France,Education,6.735229306419606
12,France,Social protection,14.814521725367975
13,France,Other,18.715835352268716
14,Germany,Defence,4.047647174640677
15,Germany,Public order and safety,3.1823193542035835
16,Germany,Economic affairs,9.280173262453237
17,Germany,Health,40.60602480803308
18,Germany,Education,6.454420161449104
19,Germany,Social protection,20.580822996652884
20,Germany,Other,15.848592242567435
21,Japan,Defence,3.183465048345825
22,Japan,Public order and safety,1.8520866828196825
23,Japan,Economic affairs,14.259301193360658
24,Japan,Health,44.616630058196144
25,Japan,Education,6.525101333756029
26,Japan,Social protection,13.76972894635538
27,Japan,Other,15.793799959240053
28,Netherlands,Defence,2.7925096347506115
29,Netherlands,Public order and safety,3.6315866500338
30,Netherlands,Economic affairs,11.782620512784774
31,Netherlands,Health,35.69979998745566
32,Netherlands,Education,8.746193141033237
33,Netherlands,Social protection,21.108640960060214
34,Netherlands,Other,16.238649113881706
35,Sweden,Defence,4.519248651664497
36,Sweden,Public order and safety,2.8233512033271073
37,Sweden,Economic affairs,13.017333624428254
38,Sweden,Health,21.470810995841116
39,Sweden,Education,15.373585292159575
40,Sweden,Social protection,16.13568796780706
41,Sweden,Other,26.659982264772395
42,United Kingdom,Defence,10.23880404077272
43,United Kingdom,Public order and safety,6.272930852904163
44,United Kingdom,Economic affairs,13.226801105623547
45,United Kingdom,Health,31.615586706663777
46,United Kingdom,Education,10.93647227006414
47,United Kingdom,Social protection,13.84728859892251
48,United Kingdom,Other,13.862116425049141
49,United States,Defence,20.32015665622609
50,United States,Public order and safety,6.580433601106922
51,United States,Economic affairs,22.31185098469991
52,United States,Health,14.377249830359462
53,United States,Education,19.043395370722745
54,United States,Social protection,3.3564564708290674
55,United States,Other,14.010418399501896
56,OECD,Defence,9.987099259761889
57,OECD,Public order and safety,4.2543940403228575
58,OECD,Economic affairs,16.33831884631069
59,OECD,Health,30.130890016318222
60,OECD,Education,11.734661443139625
61,OECD,Social protection,10.161803812586832
62,OECD,Other,17.39283415126614
