,Year,World CO2 Emissions (GTCO2)
0,2000,23.66354402588071
1,2001,23.995243297200627
2,2002,24.539478028440133
3,2003,25.75570268780655
4,2004,27.076611383099163
5,2005,28.16001609258439
6,2006,29.04042693328016
7,2007,30.07791158477809
8,2008,30.33034897061444
9,2009,29.695078840510245
10,2010,31.045053552706
11,2011,31.93188298382908
12,2012,32.249824334576125
13,2013,32.77320368838706
14,2014,32.83509556878548
15,2015,32.897176118287625
16,2016,33.0467289128026
17,2017,33.42877430705975
18,2018,34.046062364995656
19,2019,34.039785946593305
20,2020,31.983646459082298
21,2021,30.05170603671039
22,2022,28.236462558208515
23,2023,26.530867060497425
24,2024,24.928296366116975
25,2025,23.422527364068355
26,2026,22.007712844196558
27,2027,20.678358791272952
28,2028,19.42930305060629
29,2029,18.255695282336294
30,2030,17.15297812656826
