,cat,gen,v
0,Clothing/Apparel, Female,0.593
1,Clothing/Apparel, Male,0.583
2,Clothing/Apparel,Gen Z (born 1997-2012),0.528
3,Clothing/Apparel,Millennials (born 1981-1996),0.627
4,Clothing/Apparel,Gen X (born 1965-1980),0.588
5,Clothing/Apparel,Baby Boomers (born 1946-1964),0.566
6,Clothing/Apparel,The Silent Generation (born 1928-1945),0.644
7,"Toys, books & other media", Female,0.507
8,"Toys, books & other media", Male,0.404
9,"Toys, books & other media",Gen Z (born 1997-2012),0.34
10,"Toys, books & other media",Millennials (born 1981-1996),0.512
11,"Toys, books & other media",Gen X (born 1965-1980),0.409
12,"Toys, books & other media",Baby Boomers (born 1946-1964),0.498
13,"Toys, books & other media",The Silent Generation (born 1928-1945),0.422
14,Health & Beauty, Female,0.485
15,Health & Beauty, Male,0.321
16,Health & Beauty,Gen Z (born 1997-2012),0.349
17,Health & Beauty,Millennials (born 1981-1996),0.366
18,Health & Beauty,Gen X (born 1965-1980),0.385
19,Health & Beauty,Baby Boomers (born 1946-1964),0.476
20,Health & Beauty,The Silent Generation (born 1928-1945),0.489
21,Gift cards, Female,0.382
22,Gift cards, Male,0.385
23,Gift cards,Gen Z (born 1997-2012),0.321
24,Gift cards,Millennials (born 1981-1996),0.39
25,Gift cards,Gen X (born 1965-1980),0.381
26,Gift cards,Baby Boomers (born 1946-1964),0.453
27,Gift cards,The Silent Generation (born 1928-1945),0.6
28,Jewellery, Female,0.219
29,Jewellery, Male,0.226
30,Jewellery,Gen Z (born 1997-2012),0.443
31,Jewellery,Millennials (born 1981-1996),0.209
32,Jewellery,Gen X (born 1965-1980),0.21
33,Jewellery,Baby Boomers (born 1946-1964),0.168
34,Jewellery,The Silent Generation (born 1928-1945),0.244
35,Experiential gifts, Female,0.221
36,Experiential gifts, Male,0.171
37,Experiential gifts,Gen Z (born 1997-2012),0.085
38,Experiential gifts,Millennials (born 1981-1996),0.206
39,Experiential gifts,Gen X (born 1965-1980),0.21
40,Experiential gifts,Baby Boomers (born 1946-1964),0.217
41,Experiential gifts,The Silent Generation (born 1928-1945),0.2
42,Gaming, Female,0.15
43,Gaming, Male,0.231
44,Gaming,Gen Z (born 1997-2012),0.302
45,Gaming,Millennials (born 1981-1996),0.268
46,Gaming,Gen X (born 1965-1980),0.202
47,Gaming,Baby Boomers (born 1946-1964),0.081
48,Gaming,The Silent Generation (born 1928-1945),0.044
49,Consumer electronics, Female,0.124
50,Consumer electronics, Male,0.246
51,Consumer electronics,Gen Z (born 1997-2012),0.189
52,Consumer electronics,Millennials (born 1981-1996),0.185
53,Consumer electronics,Gen X (born 1965-1980),0.191
54,Consumer electronics,Baby Boomers (born 1946-1964),0.181
55,Consumer electronics,The Silent Generation (born 1928-1945),0.067
56,Pre-loved items, Female,0.122
57,Pre-loved items, Male,0.103
58,Pre-loved items,Gen Z (born 1997-2012),0.123
59,Pre-loved items,Millennials (born 1981-1996),0.129
60,Pre-loved items,Gen X (born 1965-1980),0.152
61,Pre-loved items,Baby Boomers (born 1946-1964),0.074
62,Pre-loved items,The Silent Generation (born 1928-1945),0.044
63,Sporting goods, Female,0.067
64,Sporting goods, Male,0.13
65,Sporting goods,Gen Z (born 1997-2012),0.142
66,Sporting goods,Millennials (born 1981-1996),0.087
67,Sporting goods,Gen X (born 1965-1980),0.1
68,Sporting goods,Baby Boomers (born 1946-1964),0.091
69,Sporting goods,The Silent Generation (born 1928-1945),0.022
70,Home improvement/deco, Female,0.062
71,Home improvement/deco, Male,0.098
72,Home improvement/deco,Gen Z (born 1997-2012),0.132
73,Home improvement/deco,Millennials (born 1981-1996),0.084
74,Home improvement/deco,Gen X (born 1965-1980),0.078
75,Home improvement/deco,Baby Boomers (born 1946-1964),0.055
76,Home improvement/deco,The Silent Generation (born 1928-1945),0.08
77,Other, Female,0.066
78,Other, Male,0.103
79,Other,Gen Z (born 1997-2012),0.047
80,Other,Millennials (born 1981-1996),0.028
81,Other,Gen X (born 1965-1980),0.086
82,Other,Baby Boomers (born 1946-1964),0.139
83,Other,The Silent Generation (born 1928-1945),0.133
