"Figure 1: CPIH falls to lowest level since November 2021",""
"CPIH, OOH component and CPI annual inflation rates for the last 10 years, UK, October 2013 to 2023",""
"",""
"Notes",""
"Unit","%"
"",""
"","CPIH","CPI","OOH"
"Oct 2013","2.0","2.2","1.3"
"Nov 2013","1.9","2.1","1.4"
"Dec 2013","1.9","2.0","1.3"
"Jan 2014","1.8","1.9","1.3"
"Feb 2014","1.6","1.7","1.3"
"Mar 2014","1.5","1.6","1.2"
"Apr 2014","1.7","1.8","1.3"
"May 2014","1.5","1.5","1.3"
"Jun 2014","1.8","1.9","1.4"
"Jul 2014","1.6","1.6","1.5"
"Aug 2014","1.5","1.5","1.6"
"Sep 2014","1.3","1.2","1.7"
"Oct 2014","1.3","1.3","1.7"
"Nov 2014","1.1","1.0","1.6"
"Dec 2014","0.7","0.5","1.7"
"Jan 2015","0.5","0.3","1.9"
"Feb 2015","0.4","0.0","1.9"
"Mar 2015","0.3","0.0","2.0"
"Apr 2015","0.3","-0.1","1.9"
"May 2015","0.4","0.1","1.8"
"Jun 2015","0.3","0.0","1.9"
"Jul 2015","0.5","0.1","1.8"
"Aug 2015","0.4","0.0","1.8"
"Sep 2015","0.2","-0.1","1.8"
"Oct 2015","0.2","-0.1","1.8"
"Nov 2015","0.4","0.1","1.9"
"Dec 2015","0.5","0.2","1.9"
"Jan 2016","0.6","0.3","2.0"
"Feb 2016","0.6","0.3","2.0"
"Mar 2016","0.8","0.5","2.1"
"Apr 2016","0.7","0.3","2.2"
"May 2016","0.7","0.3","2.3"
"Jun 2016","0.8","0.5","2.3"
"Jul 2016","0.9","0.6","2.4"
"Aug 2016","1.0","0.6","2.4"
"Sep 2016","1.3","1.0","2.4"
"Oct 2016","1.3","0.9","2.7"
"Nov 2016","1.5","1.2","2.6"
"Dec 2016","1.8","1.6","2.6"
"Jan 2017","1.9","1.8","2.5"
"Feb 2017","2.3","2.3","2.5"
"Mar 2017","2.3","2.3","2.4"
"Apr 2017","2.6","2.7","2.2"
"May 2017","2.7","2.9","2.1"
"Jun 2017","2.6","2.6","2.0"
"Jul 2017","2.6","2.6","2.0"
"Aug 2017","2.7","2.9","1.9"
"Sep 2017","2.8","3.0","1.9"
"Oct 2017","2.8","3.0","1.6"
"Nov 2017","2.8","3.1","1.5"
"Dec 2017","2.7","3.0","1.3"
"Jan 2018","2.7","3.0","1.2"
"Feb 2018","2.5","2.7","1.2"
"Mar 2018","2.3","2.5","1.2"
"Apr 2018","2.2","2.4","1.2"
"May 2018","2.3","2.4","1.1"
"Jun 2018","2.3","2.4","1.1"
"Jul 2018","2.3","2.5","1.1"
"Aug 2018","2.4","2.7","1.0"
"Sep 2018","2.2","2.4","1.0"
"Oct 2018","2.2","2.4","1.1"
"Nov 2018","2.2","2.3","1.1"
"Dec 2018","2.0","2.1","1.2"
"Jan 2019","1.8","1.8","1.1"
"Feb 2019","1.8","1.9","1.1"
"Mar 2019","1.8","1.9","1.1"
"Apr 2019","2.0","2.1","1.2"
"May 2019","1.9","2.0","1.2"
"Jun 2019","1.9","2.0","1.2"
"Jul 2019","2.0","2.1","1.2"
"Aug 2019","1.7","1.7","1.1"
"Sep 2019","1.7","1.7","1.1"
"Oct 2019","1.5","1.5","1.2"
"Nov 2019","1.5","1.5","1.2"
"Dec 2019","1.4","1.3","1.2"
"Jan 2020","1.8","1.8","1.3"
"Feb 2020","1.7","1.7","1.2"
"Mar 2020","1.5","1.5","1.3"
"Apr 2020","0.9","0.8","1.1"
"May 2020","0.7","0.5","1.1"
"Jun 2020","0.8","0.6","1.2"
"Jul 2020","1.1","1.0","1.1"
"Aug 2020","0.5","0.2","1.1"
"Sep 2020","0.7","0.5","1.2"
"Oct 2020","0.9","0.7","1.2"
"Nov 2020","0.6","0.3","1.2"
"Dec 2020","0.8","0.6","1.3"
"Jan 2021","0.9","0.7","1.3"
"Feb 2021","0.7","0.4","1.4"
"Mar 2021","1.0","0.7","1.3"
"Apr 2021","1.6","1.5","1.4"
"May 2021","2.1","2.1","1.5"
"Jun 2021","2.4","2.5","1.6"
"Jul 2021","2.1","2.0","1.6"
"Aug 2021","3.0","3.2","1.7"
"Sep 2021","2.9","3.1","1.8"
"Oct 2021","3.8","4.2","1.9"
"Nov 2021","4.6","5.1","2.1"
"Dec 2021","4.8","5.4","2.2"
"Jan 2022","4.9","5.5","2.4"
"Feb 2022","5.5","6.2","2.5"
"Mar 2022","6.2","7.0","2.7"
"Apr 2022","7.8","9.0","2.9"
"May 2022","7.9","9.1","3.0"
"Jun 2022","8.2","9.4","3.2"
"Jul 2022","8.8","10.1","3.4"
"Aug 2022","8.6","9.9","3.5"
"Sep 2022","8.8","10.1","3.5"
"Oct 2022","9.6","11.1","3.6"
"Nov 2022","9.3","10.7","3.7"
"Dec 2022","9.2","10.5","3.8"
"Jan 2023","8.8","10.1","3.8"
"Feb 2023","9.2","10.4","3.9"
"Mar 2023","8.9","10.1","4.0"
"Apr 2023","7.8","8.7","4.0"
"May 2023","7.9","8.7","4.2"
"Jun 2023","7.3","7.9","4.4"
"Jul 2023","6.4","6.8","4.5"
"Aug 2023","6.3","6.7","4.8"
"Sep 2023","6.3","6.7","5.0"
"Oct 2023","4.7","4.6","5.4"
