Entity,Code,Year,Share of services in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of agriculture in GDP at current prices (Herrendorf et al. data)
Belgium,BEL,1911,50.23,39.47,10.3
Belgium,BEL,1912,50.3,40.27,9.43
Belgium,BEL,1913,50.46,40.45,9.1
Belgium,BEL,1920,49.37,32.29,18.34
Belgium,BEL,1921,49.34,34.93,15.73
Belgium,BEL,1922,51.72,36.52,11.76
Belgium,BEL,1923,49.14,36.32,14.54
Belgium,BEL,1924,48.29,38.33,13.38
Belgium,BEL,1925,48.8,38.6,12.6
Belgium,BEL,1926,47.18,40.06,12.77
Belgium,BEL,1927,46.23,42.86,10.91
Belgium,BEL,1928,46.2,42.98,10.83
Belgium,BEL,1929,46.53,43.36,10.11
Belgium,BEL,1930,49.22,41.99,8.79
Belgium,BEL,1931,51.62,40.42,7.95
Belgium,BEL,1932,54.68,36.93,8.4
Belgium,BEL,1933,54.59,36.68,8.73
Belgium,BEL,1934,55.69,36.7,7.61
Belgium,BEL,1935,57.56,38.58,3.86
Belgium,BEL,1936,56.3,40.61,3.09
Belgium,BEL,1937,52.14,40.45,7.41
Belgium,BEL,1938,53.23,38.78,7.99
Belgium,BEL,1939,53.87,37.97,8.16
Belgium,BEL,1946,50.92,38.67,10.41
Belgium,BEL,1947,50.32,41.47,8.21
Belgium,BEL,1948,50.75,41.69,7.57
Belgium,BEL,1949,48.79,42.76,8.45
Belgium,BEL,1950,49.68,42.9,7.42
Belgium,BEL,1951,49.62,43.09,7.28
Belgium,BEL,1952,51.23,41.87,6.9
Belgium,BEL,1953,50.38,41.88,7.74
Belgium,BEL,1954,49.6,42.82,7.59
Belgium,BEL,1955,50.02,42.55,7.43
Belgium,BEL,1956,49.96,43.22,6.82
Belgium,BEL,1957,49.26,43.6,7.14
Belgium,BEL,1958,51.19,41.97,6.84
Belgium,BEL,1959,52.26,40.87,6.86
Belgium,BEL,1960,51.68,41.72,6.6
Belgium,BEL,1961,51.5,41.68,6.82
Belgium,BEL,1962,51.83,42.06,6.11
Belgium,BEL,1963,52,41.98,6.02
Belgium,BEL,1964,50.96,43.36,5.68
Belgium,BEL,1965,52.27,42.22,5.51
Belgium,BEL,1966,53.18,41.95,4.87
Belgium,BEL,1967,53.97,41.34,4.69
Belgium,BEL,1968,54.4,40.84,4.75
Belgium,BEL,1969,53.99,41.28,4.73
Belgium,BEL,1970,53.06,43.27,3.67
Belgium,BEL,1971,55.23,41.23,3.54
Belgium,BEL,1972,55.12,40.8,4.09
Belgium,BEL,1973,55.06,41.04,3.9
Belgium,BEL,1974,55.45,41.73,2.82
Belgium,BEL,1975,57.82,39.18,3
Belgium,BEL,1976,58.33,38.75,2.92
Belgium,BEL,1977,59.28,38.3,2.42
Belgium,BEL,1978,59.97,37.53,2.5
Belgium,BEL,1979,60.25,37.36,2.39
Belgium,BEL,1980,61.35,36.37,2.28
Belgium,BEL,1981,64.01,33.55,2.44
Belgium,BEL,1982,63.97,33.56,2.48
Belgium,BEL,1983,64.23,33.15,2.63
Belgium,BEL,1984,64.73,32.74,2.53
Belgium,BEL,1985,64.88,32.78,2.34
Belgium,BEL,1986,65.65,32.1,2.26
Belgium,BEL,1987,66.84,31.11,2.06
Belgium,BEL,1988,66.42,31.54,2.03
Belgium,BEL,1989,65.55,32.13,2.32
Belgium,BEL,1990,65.99,32.07,1.94
Belgium,BEL,1991,69.41,28.47,2.12
Belgium,BEL,1992,71.34,26.64,2.02
Belgium,BEL,1993,72.08,26.05,1.88
Belgium,BEL,1994,73.2,25.01,1.79
Belgium,BEL,1995,73.34,24.94,1.72
Belgium,BEL,1996,72.99,25.49,1.52
Belgium,BEL,1997,73.41,25.04,1.55
Belgium,BEL,1998,73.12,25.31,1.56
Belgium,BEL,1999,73.63,24.91,1.46
Belgium,BEL,2000,74.35,24.36,1.29
Belgium,BEL,2001,74.23,24.39,1.38
Belgium,BEL,2002,75.12,23.56,1.32
Belgium,BEL,2003,75.74,23.08,1.18
Belgium,BEL,2004,76.5,22.38,1.12
Belgium,BEL,2005,76.49,22.39,1.11
Belgium,BEL,2006,77.12,22.04,0.83
Belgium,BEL,2007,77.07,22.14,0.79
Belgium,BEL,2008,77.42,21.79,0.79
Finland,FIN,1860,22.46,15.87,61.66
Finland,FIN,1861,15.77,16.8,67.43
Finland,FIN,1862,26.87,15.84,57.29
Finland,FIN,1863,19.78,16.09,64.14
Finland,FIN,1864,24.67,15.98,59.35
Finland,FIN,1865,20.99,17.33,61.69
Finland,FIN,1866,28.3,15.69,56.01
Finland,FIN,1867,36.86,14.73,48.41
Finland,FIN,1868,14.76,18.31,66.93
Finland,FIN,1869,19.96,18.26,61.79
Finland,FIN,1870,21.71,18.16,60.12
Finland,FIN,1871,20.79,18.56,60.66
Finland,FIN,1872,18.08,20.03,61.88
Finland,FIN,1873,15.38,21.44,63.18
Finland,FIN,1874,15.81,21.27,62.92
Finland,FIN,1875,22.89,18.69,58.42
Finland,FIN,1876,18.54,18.87,62.59
Finland,FIN,1877,26.8,18.16,55.04
Finland,FIN,1878,37.51,15.1,47.38
Finland,FIN,1879,31.01,16.01,52.98
Finland,FIN,1880,18.58,19.49,61.93
Finland,FIN,1881,25.84,19.68,54.48
Finland,FIN,1882,20.94,20.78,58.28
Finland,FIN,1883,24.13,19.02,56.85
Finland,FIN,1884,27.8,18.28,53.92
Finland,FIN,1885,27.92,18.68,53.4
Finland,FIN,1886,28.66,18.6,52.74
Finland,FIN,1887,27.97,18.27,53.76
Finland,FIN,1888,25.33,19.76,54.91
Finland,FIN,1889,19.02,23.11,57.87
Finland,FIN,1890,22.94,22.48,54.59
Finland,FIN,1891,21.86,20.9,57.24
Finland,FIN,1892,29.29,19.28,51.43
Finland,FIN,1893,27.07,18.65,54.28
Finland,FIN,1894,25.44,19.91,54.64
Finland,FIN,1895,24.71,20.57,54.72
Finland,FIN,1896,21.53,22.62,55.85
Finland,FIN,1897,19.7,24.01,56.28
Finland,FIN,1898,20.62,24.48,54.9
Finland,FIN,1899,26.27,23.47,50.26
Finland,FIN,1900,23.18,24.76,52.07
Finland,FIN,1901,30.84,21.74,47.43
Finland,FIN,1902,32.77,21.74,45.49
Finland,FIN,1903,23.41,24.02,52.57
Finland,FIN,1904,29.22,22.7,48.08
Finland,FIN,1905,26.78,24.12,49.1
Finland,FIN,1906,26.35,25.52,48.13
Finland,FIN,1907,26.85,25.87,47.28
Finland,FIN,1908,30.97,23.65,45.38
Finland,FIN,1909,30.53,24.02,45.45
Finland,FIN,1910,30.77,24.68,44.55
Finland,FIN,1911,28.65,25.3,46.04
Finland,FIN,1912,27.62,25.51,46.87
Finland,FIN,1913,29.9,25.02,45.08
Finland,FIN,1914,34.12,23.8,42.08
Finland,FIN,1915,29.2,29.1,41.7
Finland,FIN,1916,6.54,42.08,51.39
Finland,FIN,1921,17.63,27.32,55.05
Finland,FIN,1922,25.96,28.32,45.72
Finland,FIN,1923,30.1,29.76,40.13
Finland,FIN,1924,30.59,29.24,40.18
Finland,FIN,1925,30.45,29.05,40.5
Finland,FIN,1926,32.71,29.67,37.62
Finland,FIN,1927,27.49,32.19,40.32
Finland,FIN,1928,30.74,33.15,36.11
Finland,FIN,1929,40.1,29.29,30.61
Finland,FIN,1930,47.49,26.02,26.49
Finland,FIN,1931,51,24.45,24.55
Finland,FIN,1932,42.25,27.65,30.11
Finland,FIN,1933,38.87,29.41,31.73
Finland,FIN,1934,32.28,32.54,35.17
Finland,FIN,1935,36.6,30.42,32.98
Finland,FIN,1936,32.69,32.8,34.5
Finland,FIN,1937,23.98,36.89,39.13
Finland,FIN,1938,31.59,32.26,36.15
Finland,FIN,1939,41.47,29.2,29.33
Finland,FIN,1940,37.44,33.1,29.46
Finland,FIN,1941,34.5,32.68,32.82
Finland,FIN,1942,33.17,32.91,33.92
Finland,FIN,1943,23.29,34.53,42.17
Finland,FIN,1944,34.32,27.18,38.51
Finland,FIN,1947,3.39,44.89,51.71
Finland,FIN,1948,5.6,51.42,42.98
Finland,FIN,1949,28.43,42.21,29.36
Finland,FIN,1950,17.11,50.5,32.39
Finland,FIN,1951,1.55,59.49,38.96
Finland,FIN,1952,33.36,36.41,30.23
Finland,FIN,1953,38,37.76,24.24
Finland,FIN,1954,29.18,44.48,26.33
Finland,FIN,1955,29.33,44.08,26.58
Finland,FIN,1956,34.12,42.33,23.55
Finland,FIN,1957,37.07,41.44,21.49
Finland,FIN,1958,36.43,41.52,22.05
Finland,FIN,1959,36.82,42.28,20.9
Finland,FIN,1960,34.31,44.46,21.23
Finland,FIN,1961,43.01,38.03,18.96
Finland,FIN,1962,45.48,37.7,16.82
Finland,FIN,1963,46.57,37.21,16.23
Finland,FIN,1964,47.02,36.64,16.34
Finland,FIN,1965,47.53,36.49,15.98
Finland,FIN,1966,49.04,36.68,14.27
Finland,FIN,1967,50.04,36.55,13.41
Finland,FIN,1968,49.7,36.63,13.67
Finland,FIN,1969,48.33,38.46,13.2
Finland,FIN,1970,50.33,39.78,9.89
Finland,FIN,1971,48.95,38.68,12.37
Finland,FIN,1972,48.99,39.97,11.04
Finland,FIN,1973,48.51,40.83,10.67
Finland,FIN,1974,47,42.79,10.2
Finland,FIN,1975,49.9,39.56,10.54
Finland,FIN,1976,52.06,38.1,9.84
Finland,FIN,1977,52.69,37.64,9.68
Finland,FIN,1978,52.89,38.09,9.02
Finland,FIN,1979,52.29,38.69,9.02
Finland,FIN,1980,52.07,38.44,9.49
Finland,FIN,1981,53.32,38.01,8.67
Finland,FIN,1982,54.17,37.11,8.72
Finland,FIN,1983,54.63,36.94,8.42
Finland,FIN,1984,55.05,36.52,8.43
Finland,FIN,1985,56.59,35.38,8.03
Finland,FIN,1986,57.87,34.73,7.4
Finland,FIN,1987,58.44,35.16,6.4
Finland,FIN,1988,58.36,35.33,6.31
Finland,FIN,1989,57.89,35.57,6.55
Finland,FIN,1990,59.67,33.71,6.63
Finland,FIN,1991,64.15,30.09,5.76
Finland,FIN,1992,65.22,29.69,5.09
Finland,FIN,1993,64.28,30.5,5.22
Finland,FIN,1994,62.95,31.48,5.58
Finland,FIN,1995,62.17,33.06,4.78
Finland,FIN,1996,64.04,31.67,4.29
Finland,FIN,1997,63.44,32.32,4.25
Finland,FIN,1998,62.81,33.37,3.82
Finland,FIN,1999,63.22,33.02,3.76
Finland,FIN,2000,62.24,34.14,3.62
Finland,FIN,2001,63.14,33.5,3.36
France,FRA,1815,25.98,36.73,37.3
France,FRA,1816,23.04,33.8,43.16
France,FRA,1817,21.04,29.23,49.72
France,FRA,1818,21.87,35.71,42.42
France,FRA,1819,23.01,35.08,41.9
France,FRA,1820,23.16,36.28,40.57
France,FRA,1821,22.93,36.46,40.61
France,FRA,1822,23.61,40.68,35.71
France,FRA,1823,23.71,36.87,39.42
France,FRA,1824,23.41,37.3,39.29
France,FRA,1825,22.66,40.94,36.4
France,FRA,1826,22.91,39.22,37.88
France,FRA,1827,22.33,38.93,38.74
France,FRA,1828,22.45,38.38,39.17
France,FRA,1829,21.53,37.98,40.48
France,FRA,1830,21.21,38.77,40.02
France,FRA,1831,22.31,36.73,40.96
France,FRA,1832,21.78,34.07,44.15
France,FRA,1833,22.27,39.23,38.51
France,FRA,1834,22.18,40.34,37.49
France,FRA,1835,21.8,41.69,36.51
France,FRA,1836,21.81,45.84,32.35
France,FRA,1837,22.52,42.03,35.45
France,FRA,1838,22.13,43.28,34.58
France,FRA,1839,23.02,42.72,34.26
France,FRA,1840,22.44,40.61,36.95
France,FRA,1841,23.61,42.17,34.22
France,FRA,1842,23.23,42.73,34.04
France,FRA,1843,23.47,40.97,35.56
France,FRA,1844,23.12,41.02,35.86
France,FRA,1845,23.14,42.77,34.09
France,FRA,1846,22.56,43.47,33.97
France,FRA,1847,21.53,38.19,40.28
France,FRA,1848,24.19,35.9,39.9
France,FRA,1849,23.48,43.35,33.16
France,FRA,1850,23.5,44.7,31.8
France,FRA,1851,23.9,43.79,32.31
France,FRA,1852,22.89,43.01,34.1
France,FRA,1853,23.4,44.1,32.51
France,FRA,1854,22.8,41.93,35.26
France,FRA,1855,23.69,41.53,34.78
France,FRA,1856,23.18,41.91,34.91
France,FRA,1857,22.91,38.04,39.05
France,FRA,1858,23.63,36.75,39.63
France,FRA,1859,24.71,38.24,37.05
France,FRA,1860,23.26,38.02,38.72
France,FRA,1861,23.56,40.77,35.67
France,FRA,1862,23.42,37.24,39.34
France,FRA,1863,23.61,37.41,38.98
France,FRA,1864,23.8,38.01,38.19
France,FRA,1865,25.03,38.59,36.38
France,FRA,1866,24.27,39.78,35.95
France,FRA,1867,25.05,41.69,33.27
France,FRA,1868,23.67,39.23,37.11
France,FRA,1869,23.43,38.86,37.7
France,FRA,1870,25.49,35.11,39.41
France,FRA,1871,27.57,32.74,39.69
France,FRA,1872,25.77,37.26,36.96
France,FRA,1873,26.76,40.27,32.98
France,FRA,1874,26.19,37.69,36.12
France,FRA,1875,26.82,39.39,33.79
France,FRA,1876,28.26,40.09,31.65
France,FRA,1877,27.89,38.22,33.89
France,FRA,1878,29.22,37.24,33.55
France,FRA,1879,31.02,38.53,30.44
France,FRA,1880,30.35,37.68,31.97
France,FRA,1881,30.15,39.51,30.33
France,FRA,1882,30.03,39.27,30.7
France,FRA,1883,30.7,38.57,30.73
France,FRA,1884,31.47,37.81,30.72
France,FRA,1885,33.33,37.15,29.52
France,FRA,1886,33.83,38.04,28.14
France,FRA,1887,34.56,38.01,27.43
France,FRA,1888,34.55,38.53,26.92
France,FRA,1889,34.25,40.7,25.05
France,FRA,1890,33.7,39.02,27.28
France,FRA,1891,34.11,39.79,26.1
France,FRA,1892,34.68,39.33,25.99
France,FRA,1893,35.32,38.06,26.61
France,FRA,1894,35.6,36.66,27.75
France,FRA,1895,36.84,35.8,27.36
France,FRA,1896,36.5,38.11,25.38
France,FRA,1897,36.05,40.28,23.67
France,FRA,1898,35.59,37.5,26.91
France,FRA,1899,35.69,38.9,25.41
France,FRA,1900,36.27,36.17,27.55
France,FRA,1901,37.29,38.75,23.96
France,FRA,1902,36.96,37.9,25.15
France,FRA,1903,36.22,37.62,26.16
France,FRA,1904,36.81,37.67,25.52
France,FRA,1905,37.7,37.18,25.12
France,FRA,1906,36.96,38.51,24.53
France,FRA,1907,36.06,38.58,25.36
France,FRA,1908,37.16,37.65,25.19
France,FRA,1909,36.45,38.14,25.4
France,FRA,1910,36.7,36.73,26.57
France,FRA,1911,35.52,37.89,26.59
France,FRA,1912,34.53,38.67,26.8
France,FRA,1913,34.97,38.76,26.27
France,FRA,1920,28.08,49.19,22.73
France,FRA,1921,35.14,39.51,25.35
France,FRA,1922,34.52,44.4,21.07
France,FRA,1923,32.98,46.76,20.25
France,FRA,1924,32.29,47.38,20.34
France,FRA,1925,32.39,47.57,20.04
France,FRA,1926,32.08,47.48,20.44
France,FRA,1927,34.25,44.05,21.71
France,FRA,1928,34.87,43.93,21.19
France,FRA,1929,35.46,44.3,20.24
France,FRA,1930,35.92,44.22,19.86
France,FRA,1931,39.29,39.57,21.14
France,FRA,1932,40.65,34.28,25.08
France,FRA,1933,41.05,37.64,21.32
France,FRA,1934,43.25,35.33,21.42
France,FRA,1935,45.77,36.2,18.03
France,FRA,1936,43.23,35.05,21.72
France,FRA,1938,40.69,39.26,20.05
France,FRA,1970,52.14,38.22,9.64
France,FRA,1971,52.63,38.17,9.2
France,FRA,1972,52.53,37.44,10.04
France,FRA,1973,52.59,37.54,9.87
France,FRA,1974,54.07,37.55,8.37
France,FRA,1975,56.19,36.33,7.48
France,FRA,1976,56.65,36.34,7.02
France,FRA,1977,57.71,35.66,6.63
France,FRA,1978,58.24,35.09,6.67
France,FRA,1979,58.72,34.51,6.77
France,FRA,1980,59.48,34.48,6.03
France,FRA,1981,60.67,33.37,5.96
France,FRA,1982,61.15,32.15,6.71
France,FRA,1983,62.63,31.58,5.79
France,FRA,1984,63.75,30.81,5.45
France,FRA,1985,64.04,30.49,5.47
France,FRA,1986,64.4,30.28,5.33
France,FRA,1987,65.06,29.94,5
France,FRA,1988,65.26,30.05,4.69
France,FRA,1989,65.22,29.66,5.12
France,FRA,1990,65.58,29.3,5.12
France,FRA,1991,66.85,28.97,4.17
France,FRA,1992,67.33,28.41,4.26
France,FRA,1993,69.21,26.79,4
France,FRA,1994,69.44,26.23,4.33
France,FRA,1995,69.33,26.35,4.32
France,FRA,1996,70.25,25.45,4.29
France,FRA,1997,70.32,25.48,4.19
France,FRA,1998,70.48,25.31,4.21
France,FRA,1999,68,28.01,3.99
France,FRA,2000,67.94,28.29,3.76
France,FRA,2001,68.35,27.84,3.81
France,FRA,2002,69.61,26.78,3.61
France,FRA,2003,70.48,26.2,3.32
France,FRA,2004,70.6,26.08,3.33
France,FRA,2005,70.67,26.19,3.14
France,FRA,2006,71.03,26.06,2.91
France,FRA,2007,70.45,26.46,3.09
France,FRA,2008,70.91,26.23,2.86
France,FRA,2009,73.23,24.31,2.46
France,FRA,2010,73.83,23.29,2.88
France,FRA,2011,73.98,23.11,2.91
Japan,JPN,1885,43.12,13.93,42.94
Japan,JPN,1886,43.07,14.83,42.09
Japan,JPN,1887,43.3,16.69,40.01
Japan,JPN,1888,44.29,17.36,38.35
Japan,JPN,1889,43.48,19.2,37.32
Japan,JPN,1890,39.36,14.6,46.04
Japan,JPN,1891,42.2,15.77,42.02
Japan,JPN,1892,42.45,15.39,42.16
Japan,JPN,1893,42.67,16.7,40.63
Japan,JPN,1894,40.95,15.91,43.14
Japan,JPN,1895,41.87,17.4,40.72
Japan,JPN,1896,41.97,19.79,38.24
Japan,JPN,1897,41.69,21.37,36.94
Japan,JPN,1898,37.72,18.85,43.43
Japan,JPN,1899,39.87,22.5,37.63
Japan,JPN,1900,41.8,20.47,37.73
Japan,JPN,1901,41.78,20.56,37.66
Japan,JPN,1902,44.01,20.28,35.71
Japan,JPN,1903,41.51,19.14,39.35
Japan,JPN,1904,43.62,17.81,38.57
Japan,JPN,1905,48.09,20.44,31.47
Japan,JPN,1906,43.32,22.37,34.3
Japan,JPN,1907,39.58,24.09,36.33
Japan,JPN,1908,41.55,22.69,35.76
Japan,JPN,1909,43.16,24.16,32.69
Japan,JPN,1910,43.83,25.33,30.84
Japan,JPN,1911,41.97,22.92,35.1
Japan,JPN,1912,40.39,22.96,36.65
Japan,JPN,1913,39.42,24.63,35.95
Japan,JPN,1914,42.46,27.03,30.51
Japan,JPN,1915,42.3,29.93,27.77
Japan,JPN,1916,40.71,32.6,26.7
Japan,JPN,1917,39.42,32.93,27.65
Japan,JPN,1918,34.3,34.13,31.57
Japan,JPN,1919,34.49,30.45,35.06
Japan,JPN,1920,40.6,29.87,29.52
Japan,JPN,1921,43.83,27.85,28.31
Japan,JPN,1922,45.69,29.21,25.11
Japan,JPN,1923,45.02,29.1,25.88
Japan,JPN,1924,44.49,28.86,26.65
Japan,JPN,1925,44.31,28.77,26.92
Japan,JPN,1926,46.99,29.39,23.62
Japan,JPN,1927,46.43,30.22,23.35
Japan,JPN,1928,47.12,31.96,20.92
Japan,JPN,1929,45.62,33.94,20.45
Japan,JPN,1930,49.43,34,16.56
Japan,JPN,1931,50.07,34.45,15.49
Japan,JPN,1932,47.93,34.72,17.35
Japan,JPN,1933,46.1,35.14,18.75
Japan,JPN,1934,47.07,36.73,16.2
Japan,JPN,1935,44.45,38.24,17.31
Japan,JPN,1936,42.36,39.5,18.14
Japan,JPN,1937,40.92,41.25,17.83
Japan,JPN,1938,37.74,46.05,16.21
Japan,JPN,1939,33.74,47.05,19.21
Japan,JPN,1940,33.54,48.15,18.31
Japan,JPN,1953,46.17,36.71,17.12
Japan,JPN,1954,47.98,34.87,17.15
Japan,JPN,1955,48.91,32.72,18.37
Japan,JPN,1956,48.83,35.53,15.64
Japan,JPN,1957,48.68,36.4,14.92
Japan,JPN,1958,50.32,35.28,14.4
Japan,JPN,1959,49.62,36.76,13.62
Japan,JPN,1960,48.56,39.21,12.23
Japan,JPN,1961,48.86,39.72,11.41
Japan,JPN,1962,50.18,38.96,10.86
Japan,JPN,1963,50.69,39.2,10.12
Japan,JPN,1964,51.28,39.63,9.09
Japan,JPN,1965,52.57,38.33,9.1
Japan,JPN,1966,53.74,37.54,8.71
Japan,JPN,1967,52.89,38.54,8.57
Japan,JPN,1968,53.16,39.27,7.57
Japan,JPN,1969,52.85,40.44,6.71
Japan,JPN,1970,52.89,41.41,5.69
Japan,JPN,1971,54.05,41.01,4.94
Japan,JPN,1972,54.48,40.44,5.08
Japan,JPN,1973,53.75,40.8,5.45
Japan,JPN,1974,55.87,39.03,5.1
Japan,JPN,1975,58.35,36.61,5.04
Japan,JPN,1976,58.59,36.53,4.88
Japan,JPN,1977,59.49,35.81,4.7
Japan,JPN,1978,59.46,36.23,4.31
Japan,JPN,1979,59.63,36.3,4.06
Japan,JPN,1980,60.51,36.06,3.43
Japan,JPN,1981,60.4,36.29,3.31
Japan,JPN,1982,61,35.8,3.21
Japan,JPN,1983,61.77,35.05,3.18
Japan,JPN,1984,61.11,35.74,3.14
Japan,JPN,1985,61,35.94,3.06
Japan,JPN,1986,61.75,35.35,2.9
Japan,JPN,1987,62.06,35.22,2.72
Japan,JPN,1988,61.71,35.73,2.56
Japan,JPN,1989,61.56,35.95,2.5
Japan,JPN,1990,61.08,36.47,2.44
Japan,JPN,1991,61.01,36.7,2.29
Japan,JPN,1992,61.51,36.28,2.21
Japan,JPN,1993,62.2,35.74,2.06
Japan,JPN,1994,63.1,34.76,2.14
Japan,JPN,1995,63.43,34.63,1.94
Japan,JPN,1996,63.67,34.35,1.98
Japan,JPN,1997,64.13,34.05,1.83
Japan,JPN,1998,64.98,33.08,1.94
Japan,JPN,1999,65.69,32.41,1.9
Japan,JPN,2000,65.98,32.22,1.81
Japan,JPN,2001,67.52,30.73,1.75
Japan,JPN,2002,68.19,30.05,1.76
Japan,JPN,2003,68.15,30.13,1.73
Japan,JPN,2004,67.81,30.53,1.66
Japan,JPN,2005,67.98,30.47,1.55
Japan,JPN,2006,68.25,30.24,1.51
Japan,JPN,2007,68.06,30.45,1.49
Japan,JPN,2008,68.73,29.75,1.51
Japan,JPN,2009,70.58,27.9,1.52
Japan,JPN,2010,68.88,29.58,1.54
Japan,JPN,2011,69.91,28.57,1.52
Netherlands,NLD,1807,46.41,29.19,24.4
Netherlands,NLD,1808,47.18,31.08,21.75
Netherlands,NLD,1809,45.95,27.57,26.47
Netherlands,NLD,1815,50.74,24.26,25
Netherlands,NLD,1816,48.86,24.54,26.6
Netherlands,NLD,1817,49.78,21.34,28.88
Netherlands,NLD,1818,49.54,23.6,26.86
Netherlands,NLD,1819,49.98,23,27.02
Netherlands,NLD,1820,48.65,25.63,25.72
Netherlands,NLD,1821,50.26,28.05,21.69
Netherlands,NLD,1822,51.03,29.08,19.89
Netherlands,NLD,1823,49.76,29.82,20.41
Netherlands,NLD,1824,52.04,28.42,19.54
Netherlands,NLD,1825,51,27.47,21.54
Netherlands,NLD,1826,49.94,27.79,22.27
Netherlands,NLD,1827,46.98,28.93,24.09
Netherlands,NLD,1828,48.63,29.76,21.61
Netherlands,NLD,1829,47.51,29.38,23.11
Netherlands,NLD,1830,46.55,29.63,23.81
Netherlands,NLD,1831,48.51,26.56,24.93
Netherlands,NLD,1832,52.16,24.7,23.14
Netherlands,NLD,1833,50.75,27.6,21.65
Netherlands,NLD,1834,50.33,29.49,20.19
Netherlands,NLD,1835,47.17,30.66,22.17
Netherlands,NLD,1836,48.18,30.41,21.41
Netherlands,NLD,1837,46.52,31.5,21.97
Netherlands,NLD,1838,46.47,31.3,22.23
Netherlands,NLD,1839,47.55,28.57,23.88
Netherlands,NLD,1840,44.9,30.08,25.02
Netherlands,NLD,1841,46.05,31.88,22.07
Netherlands,NLD,1842,45.16,30.18,24.66
Netherlands,NLD,1843,46.17,29.24,24.59
Netherlands,NLD,1844,48.56,29.06,22.39
Netherlands,NLD,1845,46.93,29.96,23.11
