,Country,Year,GDP_share,perc_total
0,AUS,2007,12.19913480952,35.185085376908
1,AUS,2009,13.70413407203,35.716300095941
2,AUS,2017,14.756420907357,40.19547052094
3,AUT,2007,12.392883856448,25.166224585771
4,AUT,2009,13.831875419597,25.546082523525
5,AUT,2017,13.248242757614,26.941204295055
6,BEL,2007,12.359807085615,25.616716660564
7,BEL,2009,14.287643453157,26.38523181841
8,BEL,2017,14.122860047658,27.091222782764
9,BRA ,2007,15.071296052045,24.340755172232
10,BRA ,2009,16.007490467909,26.119665044599
11,BRA ,2017,16.448719963684,24.701716366428
12,CAN,2007,12.741132130963,32.3844660507
13,CAN,2009,14.709985273659,33.217312326921
14,CAN,2017,13.254958655303,32.310557252847
15,CHE,2007,7.7458219035208,25.210077766824
16,CHE,2009,8.5377496681642,25.712618411945
17,CHE,2017,9.0975163346093,26.638544329405
18,COL,2007,0.0,0.0
19,COL,2009,0.0,0.0
20,COL,2017,11.049952510014,25.297053350185
21,CRI,2007,4.7219756889336,15.293161955044
22,CRI,2009,6.3959181398316,18.222235611998
23,CRI,2017,6.9358228182051,15.79362739347
24,CZE,2007,14.359119787236,35.564985252393
25,CZE,2009,16.53502218217,37.409719939697
26,CZE,2017,12.27666378656,31.523948872713
27,DEU,2007,12.922374792598,30.180215760818
28,DEU,2009,14.962402653357,31.449336527388
29,DEU,2017,15.497324049382,35.274777249401
30,DNK,2007,12.599742932809,25.407100396837
31,DNK,2009,14.480504812899,25.612754663961
32,DNK,2017,13.609452785429,26.602916760153
33,ESP,2007,12.069962537252,30.926737677596
34,ESP,2009,13.703139422382,29.931862624038
35,ESP,2017,9.5900006773447,23.393415124883
36,EST,2007,13.111830030157,38.463760788704
37,EST,2009,15.016403168921,32.607260726073
38,EST,2017,13.904656217792,35.407658216246
39,FIN,2007,14.402628306822,30.777776505217
40,FIN,2009,17.298885813875,31.591477685417
41,FIN,2017,17.811266146178,32.869011902014
42,FRA,2007,14.090482960399,26.805561271786
43,FRA,2009,15.287008720207,26.74805570791
44,FRA,2017,14.485466446917,25.654950373004
45,GBR,2007,12.858479268114,31.436868843073
46,GBR,2009,15.45803997234,32.675756138143
47,GBR,2017,13.000303957448,31.727195981144
48,GRC,2007,14.19972832914,30.167628369002
49,GRC,2009,15.506820857275,28.674856368817
50,GRC,2017,11.721940938612,24.762340143709
51,HUN,2007,13.348658231586,26.768251739154
52,HUN,2009,13.849161183267,27.45800588208
53,HUN,2017,14.165949652348,30.185401040461
54,IDN,2007,0.0,0.0
55,IDN,2009,0.0,0.0
56,IDN,2017,7.5339226073607,33.979084795599
57,IRL,2007,11.683053020197,32.506638760428
58,IRL,2009,12.349384010513,26.249221509237
59,IRL,2017,7.2382135580068,27.517465080826
60,ISL,2007,15.095761416445,37.190894437648
61,ISL,2009,15.720812373092,33.174132830978
62,ISL,2017,13.955330231628,32.242879548209
63,ISR,2007,14.542554784072,34.521968637588
64,ISR,2009,14.18334042747,33.143614193814
65,ISR,2017,14.837130870127,37.549911420657
66,ITA,2007,10.411786940804,22.251625555849
67,ITA,2009,11.787561695015,23.041255882912
68,ITA,2017,10.44986298626,21.364666615378
69,JPN,2007,13.68495670959,39.103274115181
70,JPN,2009,15.363502832476,37.754760354452
71,JPN,2017,16.133639099805,41.645870880185
72,KOR,2007,12.31277638183,41.492521403757
73,KOR,2009,14.573722605682,41.777155747353
74,KOR,2017,13.012927369042,40.107771975688
75,LTU,2007,12.099318879163,34.318677917389
76,LTU,2009,12.062530359168,26.872303725117
77,LTU,2017,9.3671291251273,28.308514597814
78,LUX,2007,11.153915889485,29.503333167327
79,LUX,2009,13.451239877461,29.796615246368
80,LUX,2017,12.538025518805,29.175820777071
81,LVA,2007,12.060456941132,35.482761943706
82,LVA,2009,11.997231788035,26.922485526603
83,LVA,2017,11.467146000807,30.331720166026
84,MEX,2007,4.4569771944313,20.641702422118
85,MEX,2009,5.9878668212257,23.510510729314
86,MEX,2017,4.9274777367717,18.707010504564
87,NLD,2007,19.288886735468,45.559658505695
88,NLD,2009,21.566892110325,45.324413680837
89,NLD,2017,19.468338561396,45.804989385983
90,NOR,2007,11.192262442015,27.018759818871
91,NOR,2009,13.084701451712,28.408172523511
92,NOR,2017,14.60008794231,29.232456472541
93,NZL,2007,14.225793969365,37.134825812706
94,NZL,2009,15.459251689824,37.020205741592
95,NZL,2017,14.736737675711,37.970948348246
96,OECD,2007,11.794583030210305,30.23670870658267
97,OECD,2009,13.282469773947781,29.939944204454992
98,OECD,2017,11.774745271621008,29.142304397622908
99,POL,2007,12.424838224831,28.755614884682
100,POL,2009,12.997810827513,28.856853941674
101,POL,2017,11.201750955354,27.16903745591
102,PRT,2007,10.674025011678,23.993799508394
103,PRT,2009,12.648088304587,25.183619524833
104,PRT,2017,9.0517575441144,19.820899505149
105,SVK,2007,12.68954384125,34.919690712246
106,SVK,2009,15.105416468607,34.26479300004
107,SVK,2017,13.84490158581,34.443437799611
108,SVN,2007,11.965035453773,28.360761192198
109,SVN,2009,13.707355607193,28.428613782295
110,SVN,2017,11.314531876776,26.207287735519
111,SWE,2007,14.455178957298,29.333604643085
112,SWE,2009,16.319031934603,30.965561286247
113,SWE,2017,16.205570283957,32.775361918749
114,TUR,2007,0.0,0.0
115,TUR,2009,12.443886619415,32.757326238129
116,TUR,2017,11.966065889301,35.018234895202
117,USA,2007,10.672396494292,28.5162070903
118,USA,2009,11.778784065148,27.226295232255
119,USA,2017,9.2860010939476,24.468484275861
120,ZAF,2007,11.357135475577,0.0
121,ZAF,2009,11.893995917337,0.0
122,ZAF,2017,11.740173712597,0.0
