Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband
S01006506,Culter,Aberdeen City,894,580,4691,68,14,7,4,3936,3220,5174,5887,4724,4664,3248,8%,71,8%,49,65,29,30,70,13%,0%,74,85%,5.88,53,0%,30%,11,125,87,10,10%,1%,2.540103211,3.074294725,1.616238532,2.615747423,1.544260321,9.930833333,8.86358945,5.856135321,6.023405963,11%
S01006507,Culter,Aberdeen City,793,470,4862,70,14,7,4,4829,4481,5051,4384,2148,4602,3486,5%,43,5%,25,45,130,126,81,14%,0%,86,85%,5.96,96,2%,12%,10,128,85,4,10%,0%,3.91507177,4.309811603,2.555858254,3.64669697,2.8496561,11.04281609,9.978271531,7.515,7.926028708,1%
S01006508,Culter,Aberdeen City,624,461,5686,82,17,9,5,4460,5110,5942,5915,4200,4563.5,5342,6%,40,4%,19,45,71,18,41,13%,4%,69,90%,5.75,39,1%,19%,8,130,31,8,5%,1%,3.323024883,3.784548989,1.440991446,3.247325103,2.062255054,10.61676829,8.620699844,4.321493002,5.770909798,1%
S01006509,Culter,Aberdeen City,537,307,4332,63,13,7,4,3481,3229,3871,6401,3982,5626,4394.5,10%,52,8%,26,80,80,28,103,16%,5%,88,94%,6.20,80,0%,25%,4,75,42,6,7%,1%,2.622991379,2.778025862,2.620681034,1.936907895,2.160142241,10.03647059,7.935112069,8.433327586,8.329818966,11%
S01006510,Culter,Aberdeen City,663,415,3913,57,12,6,3,3344,3448,3049,4092,5588,3885,3736,10%,68,8%,32,95,89,44,139,22%,5%,89,80%,5.87,77,6%,16%,11,168,50,7,9%,1%,2.115003882,2.358334627,2.408416149,1.845671642,1.784635093,9.65,5.568963509,6.966428571,6.632608696,0%
S01006511,Culter,Aberdeen City,759,453,6253,90,18,9,5,5469,5346,5783,5410,4974,6928,5924,4%,30,4%,17,50,55,0,54,12%,13%,73,90%,5.79,54,2%,13%,*,*,27,8,4%,1%,1.516910786,1.769580559,3.227433422,2.517456897,2.593052597,8.614008264,4.934953395,7.66855526,7.340099867,5%
S01006512,Culter,Aberdeen City,539,345,5692,82,17,9,5,6264,6206,6586,6506,547,4528,4815,2%,13,2%,8,40,29,0,41,11%,6%,55,93%,5.86,27,0%,15%,7,132,27,9,5%,2%,5.365871869,5.776136802,3.909219653,5.374183673,4.277914258,12.2152381,19.01185934,16.25665703,16.96018304,54%
S01006513,"Cults, Bieldside and Milltimber West",Aberdeen City,788,406,6177,89,18,9,5,6572,5695,5516,6531,1490,6928,6394,2%,14,3%,13,40,28,0,138,21%,0%,72,94%,6.10,40,3%,28%,*,*,15,4,3%,1%,3.573032407,4.322546296,5.524486883,1.945431034,4.910960648,6.262142857,11.26949074,10.98277392,11.09934414,3%
S01006514,"Cults, Bieldside and Milltimber West",Aberdeen City,1123,709,6715,97,20,10,5,6704,6658,6733,6847,1858,5507,6868,2%,17,2%,12,25,18,0,107,12%,8%,59,94%,6.50,19,1%,22%,9,81,10,3,1%,0%,2.722303452,3.517337009,4.693964525,2.889620253,4.061291946,7.039017857,9.742909875,10.00215724,9.730057526,14%
S01006515,"Cults, Bieldside and Milltimber West",Aberdeen City,816,529,6363,92,19,10,5,6955,6803,6846,6838,659,6844,6174.5,1%,5,1%,7,25,23,0,34,10%,0%,58,96%,6.00,15,0%,20%,*,*,29,1,4%,0%,4.444311024,5.177401575,6.337329396,3.063817734,5.78468832,6.878787129,17.18346129,17.09095472,17.02836614,22%
