Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband
S01006516,"Cults, Bieldside and Milltimber West",Aberdeen City,629,419,5947,86,18,9,5,6359,5542,6852,6631,1037,4580,6570,2%,14,3%,14,35,19,0,34,8%,10%,42,*,6.18,24,0%,13%,8,129,12,1,3%,0%,4.675375,4.139541667,5.934569444,3.918613861,6.009680556,5.953293413,9.590643519,10.14486111,11.5089537,22%
S01006517,"Cults, Bieldside and Milltimber West",Aberdeen City,1052,646,5772,83,17,9,5,6335,5324,6159,6704,931,5594,5892,2%,24,4%,24,40,31,16,63,13%,0%,69,92%,6.00,25,1%,35%,8,77,39,9,4%,1%,6.506306706,3.228658777,3.664191321,4.761158537,8.88293146,2.994635922,12.55568787,12.47737549,20.90167776,26%
S01006518,"Cults, Bieldside and Milltimber East",Aberdeen City,664,370,6674,96,20,10,5,6864,6851,6919,6960,1161,6792,6960,1%,7,1%,4,20,11,57,43,9%,8%,48,*,6.50,14,0%,30%,*,*,2,0,0%,0%,6.268999203,3.727200957,4.52180622,4.624166667,7.606200159,3.730855856,10.02149522,8.163209729,13.49807815,7%
S01006519,"Cults, Bieldside and Milltimber East",Aberdeen City,941,560,6229,90,18,9,5,6474,6284,6776,6904,938,5628,6856,2%,19,2%,13,30,4,37,66,9%,0%,57,94%,6.61,29,0%,32%,7,75,12,0,1%,0%,7.274364162,3.673436416,4.419797688,3.606640625,8.611687861,2.548541667,13.87457225,12.00170231,18.20161272,30%
S01006520,"Cults, Bieldside and Milltimber East",Aberdeen City,875,559,6490,94,19,10,5,6831,6920,6940,6965,785,6928,6825,1%,10,1%,5,15,25,37,30,7%,5%,61,95%,6.40,4,0%,22%,*,*,12,0,2%,0%,7.329286694,4.131340878,4.880294925,4.243655303,8.693045267,3.603938547,17.05100823,15.17682442,21.22265432,0%
S01006521,"Cults, Bieldside and Milltimber East",Aberdeen City,793,512,6519,94,19,10,5,6952,6896.5,6952,6808,904,5889,6869,1%,5,1%,5,20,5,0,56,7%,5%,46,94%,6.28,18,2%,29%,5,64,9,0,1%,0%,5.096502259,3.876603916,2.869096386,4.425,7.081193524,3.989607843,15.88829819,13.70700301,22.9378012,4%
S01006522,"Cults, Bieldside and Milltimber East",Aberdeen City,675,412,6769,98,20,10,5,6969,6955,6930,6931,1385,6273,6841,0%,0,1%,2,15,12,0,67,7%,0%,66,*,6.50,16,0%,26%,3,45,7,2,1%,0%,5.800810105,3.573819686,2.144168118,5.052156863,7.886459059,3.509772727,10.82259146,8.406219512,18.79038328,1%
S01006523,"Cults, Bieldside and Milltimber East",Aberdeen City,957,571,6504,94,19,10,5,5955.5,6373,6423,6906,2357,5000,6581,3%,29,2%,12,40,51,0,65,10%,3%,62,94%,6.21,12,0%,28%,10,106,18,8,2%,1%,6.339970776,2.804391605,1.875868757,5.568706468,8.112104145,2.739502924,7.806721573,5.124808714,15.75278162,1%
S01006524,"Cults, Bieldside and Milltimber East",Aberdeen City,1056,629,4175,60,12,6,3,3368,2956,4161,6256,3281,6586,6240,10%,107,9%,58,90,76,32,124,15%,0%,67,*,6.53,70,6%,20%,3,29,21,6,3%,1%,6.682634026,2.101591904,2.427705142,5.132513812,7.8547593,2.187345679,6.600771335,5.694649891,13.88874179,0%
S01006525,"Cults, Bieldside and Milltimber East",Aberdeen City,904,497,6143,89,18,9,5,5748,5409.5,5894,6810,2432,5803,6259.5,3%,31,4%,18,45,57,38,44,13%,9%,66,92%,6.30,14,2%,30%,6,67,26,4,3%,1%,7.092149123,2.269830827,3.018486842,3.627428571,8.427399749,2.073387097,8.552944862,6.89502193,14.2262782,7%
S01006526,Garthdee,Aberdeen City,924,670,2538,37,8,4,2,2796,3450,2897,1073,1906,5840,1454,12%,115,8%,52,90,119,68,123,17%,5%,126,72%,4.58,105,3%,2%,6,66,160,5,18%,1%,4.558522727,3.012039911,3.255920177,3.899104478,5.451172395,5.993989899,8.044681264,9.988115299,10.63574002,0%
S01006527,Garthdee,Aberdeen City,756,508,2030,30,6,3,2,2045,2228,2072,1360,2976,2692,3235,16%,122,12%,59,120,161,258,111,19%,4%,124,73%,4.96,138,5%,4%,19,255,77,0,11%,0%,3.390329429,1.756039531,3.006885066,3.510115207,4.303938507,6.008277311,6.665065886,10.62077965,10.24193265,16%
S01006528,Garthdee,Aberdeen City,1154,829,3834,55,11,6,3,3529,4079,3285,3178,3717,3786,1723,9%,109,6%,51,90,126,46,106,15%,7%,112,83%,5.39,85,1%,4%,20,176,159,6,16%,1%,3.054610735,1.903138298,2.505130561,2.804954128,3.903742747,6.699384615,7.070664894,9.177727273,9.68428675,2%
S01006529,Garthdee,Aberdeen City,932,680,3770,55,11,6,3,3619,4557,4117,2612,3842,1432,945,9%,85,5%,35,75,98,13,107,15%,10%,87,83%,5.28,84,10%,5%,38,413,157,38,18%,4%,1.860122768,3.559179688,1.721908482,2.078869048,2.41672154,6.1225,11.51890904,7.406037946,9.100535714,20%
S01006530,Garthdee,Aberdeen City,785,548,2218,32,7,4,2,2282,2360,2679,1021,5745,2494,1626.5,15%,116,11%,61,100,117,115,163,20%,0%,106,71%,4.62,129,7%,5%,21,271,110,19,15%,3%,2.366029801,2.40636755,1.26863245,1.444261364,3.203874172,7.115810811,9.386370861,3.880596026,9.759566225,0%
S01006531,Garthdee,Aberdeen City,946,655,1611,24,5,3,2,1802,2419,1933,320,5143,2237,1122,18%,166,11%,72,120,187,165,109,18%,13%,140,61%,4.57,151,8%,4%,28,300,190,6,20%,1%,2.839160584,2.10020073,1.463813869,2.099398907,3.667906674,6.929527559,8.020531804,4.773555787,9.941879562,0%
S01006532,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,793,445,5977,86,18,9,5,5440,5265,5684,6177,3920,3342,6110,4%,32,4%,17,50,20,0,84,16%,0%,69,*,5.50,25,2%,16%,16,204,21,8,3%,1%,2.428494624,3.099627016,1.978665995,2.093741259,2.984747984,5.398243243,11.9297211,7.594724462,9.795342742,0%
S01006533,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,717,475,6786,98,20,10,5,6688,6361,6790,6781,3089,4095,6946,2%,11,2%,10,25,25,0,45,12%,5%,58,90%,6.29,14,0%,24%,11,155,3,1,0%,0%,3.209729635,2.545294944,2.621474719,2.690366972,3.770488062,4.744569892,10.45063202,10.38981039,10.31365871,1%
S01006534,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,956,625,6831,98,20,10,5,6483,6616,6760,6588,4158,3383,6168,2%,19,2%,11,20,38,14,93,11%,10%,60,94%,5.69,21,0%,17%,19,201,22,14,2%,2%,3.072258242,3.105414835,2.414590659,1.555,3.612296703,4.322093023,10.42875549,7.648527473,8.302054945,0%
S01006535,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,1046,812,6734,97,20,10,5,6182,6081,6633,6174,5586,4257,2839,3%,27,3%,21,25,36,50,56,11%,7%,69,87%,5.89,22,0%,12%,15,145,109,23,11%,2%,3.117304913,2.301327071,1.380050578,2.070460993,3.559884393,5.036228814,8.559971098,4.466233141,6.447160405,0%
S01006536,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,1003,827,5634,81,17,9,5,5325,5383,5967,4874,5925,1729,1197,4%,43,4%,30,40,81,28,69,13%,3%,67,85%,5.67,31,3%,7%,36,363,164,38,16%,4%,3.900465517,1.98932266,1.444758621,2.509882353,2.993581281,4.421100917,6.68029803,4.375844828,5.419445813,0%
S01006537,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,920,497,6664,96,20,10,5,6697,6758,5227,6845,2127,6866,6398,2%,14,1%,7,35,119,265,111,18%,3%,74,*,6.24,26,2%,19%,*,*,22,3,3%,0%,3.877924403,3.100414456,2.455285146,3.652395833,6.325079576,2.774539474,11.44196286,8.65926061,16.12187666,6%
S01006538,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,548,335,6457,93,19,10,5,6724,6391,6474,6537,1286,6731,6461.5,1%,8,2%,7,30,51,0,52,13%,0%,75,*,5.91,26,3%,27%,*,*,14,4,2%,1%,4.713242531,3.465663445,3.236753076,4.692831858,6.103831283,4.0815,14.20115114,11.09264938,15.8005536,0%
S01006539,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,781,462,6727,97,20,10,5,6250.5,6109,6374,6757,3394,5867,6328,2%,19,3%,12,35,0,0,100,15%,5%,71,*,6.38,26,1%,19%,5,65,19,6,3%,1%,3.012018072,2.958467202,2.267560241,2.332906977,3.569986613,5.231349206,12.20336345,8.638273092,11.24626841,0%
S01006540,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,933,633,6478,93,19,10,5,6516,5795,6597,6561,2417,5378,4761,2%,18,3%,19,35,23,0,65,13%,3%,54,93%,5.81,25,0%,21%,8,87,57,14,6%,1%,3.674369792,2.799341146,2.425992188,3.268133803,4.599348958,4.986012658,12.48683854,10.0948099,13.15819531,0%
S01006541,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,864,468,6548,94,19,10,5,5792,5861,5596,6878,3887,6463,6619,3%,29,3%,14,55,14,0,78,15%,6%,72,*,6.14,27,0%,29%,3,35,20,1,2%,0%,3.168832709,2.214157303,1.724169788,3.140675676,5.570564919,3.532794118,9.138458177,7.129266542,14.82622659,0%
S01006542,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1131,664,6751,97,20,10,5,6862,6611,6667,6535,2069,5703,6239,1%,12,2%,12,30,23,15,58,11%,3%,61,*,5.30,31,0%,25%,8,72,27,11,3%,1%,2.613948551,3.192882118,2.547512488,2.262716049,7.180457043,4.979934211,10.71416084,7.789428072,18.26533467,12%
S01006543,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,792,453,6756,97,20,10,5,6641,6493,5682,6676,2700,6928,6900,2%,13,2%,9,40,66,22,63,16%,7%,74,94%,6.07,22,2%,20%,*,*,9,0,1%,0%,3.273252823,3.001508783,2.331449184,2.780340909,6.82923463,3.728901099,10.31302384,7.554548306,17.59473651,0%
S01006544,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1283,862,6937,100,20,10,5,6644,6927,6511,6534,4316,6663,3379.5,2%,21,1%,7,30,21,20,103,13%,4%,60,*,5.75,33,0%,24%,3,24,108,4,11%,0%,1.988146592,1.905018674,2.206521942,3.064555556,4.455602241,3.426079545,6.101057423,10.04674837,12.71622549,6%
S01006545,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1120,731,6594,95,19,10,5,6217.5,5967,6012,6408,4572,3834,4757,3%,28,3%,20,35,42,75,90,13%,14%,68,89%,6.11,24,0%,12%,19,172,61,18,6%,2%,3.057223005,1.329333333,1.722251174,3.484305556,4.803565728,3.937478632,5.696988263,6.803485915,11.16000939,10%
S01006546,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,624,387,6951,100,20,10,5,6663.5,5953,6305,6966,6399,6928,6799,2%,10,3%,11,35,22,48,86,12%,0%,67,*,6.67,21,0%,32%,*,*,5,6,1%,1%,1.631150794,1.192714286,1.002801587,2.618470588,5.235178571,4.195342466,5.503174603,4.141738095,12.76071825,0%
S01006547,Hazlehead,Aberdeen City,1242,752,3784,55,11,6,3,4021,3752,4381,6395,661,2085,4090,8%,95,7%,52,65,139,124,81,14%,0%,82,95%,6.13,50,2%,18%,39,318,64,18,7%,2%,4.357359427,5.885650496,4.203412348,3.914563107,7.721052922,4.789619565,15.07820424,16.58892089,21.8429989,15%
S01006548,Hazlehead,Aberdeen City,658,361,6455,93,19,10,5,6623,6264,6698,6765,1259,6928,6499,2%,11,2%,8,25,5,0,64,13%,0%,74,*,6.08,21,2%,21%,*,*,14,8,2%,1%,1.861262136,3.822742718,3.339934119,3.592263158,7.011931345,5.679677419,13.9339251,9.488356449,21.56981969,4%
S01006549,Hazlehead,Aberdeen City,796,503,6820,98,20,10,5,6908,6827,6466,6819,2363,5084,6004,1%,7,1%,6,35,38,0,76,13%,6%,58,*,6.40,25,0%,28%,8,102,35,1,4%,0%,1.914207768,3.189596178,3.131109741,2.821213592,4.77676942,3.808931624,9.742188656,11.98329223,14.84860974,26%
S01006550,Hazlehead,Aberdeen City,900,508,6760,97,20,10,5,6875,6706,6378,6963,2008,5324,6585,1%,9,2%,8,30,19,0,105,17%,0%,68,100%,6.27,22,0%,23%,8,90,23,2,3%,0%,1.383347413,3.255390707,2.820401267,3.323440367,6.131003168,5.091637931,10.91463041,9.233695882,17.80254488,28%
S01006551,Hazlehead,Aberdeen City,704,431,1474,22,5,3,2,1882,999,2047,3550,1754,523,1502,17%,120,18%,76,115,307,63,84,21%,5%,135,86%,5.50,108,5%,12%,49,690,100,24,14%,3%,3.085221014,5.001706522,3.321311594,2.472348837,6.131623188,3.033378378,10.6077029,13.79436594,16.90350725,0%
S01006552,Hazlehead,Aberdeen City,884,585,6084,88,18,9,5,5879,6124,6688,5534,1694,5052,6637,3%,28,3%,15,25,62,15,36,12%,6%,66,87%,5.71,39,0%,11%,9,103,17,5,2%,1%,3.460364943,4.742206897,2.898784483,2.819609375,5.489376437,3.398030303,12.80383333,13.46704885,18.06412069,0%
S01006553,Summerhill,Aberdeen City,903,508,5280,76,16,8,4,5211,4719,4149,5829,2781,4687,4628,5%,41,5%,24,75,20,20,105,18%,4%,93,*,5.88,62,1%,12%,11,123,59,5,7%,1%,2.927092199,3.770859929,2.342969858,2.132436364,4.063596336,5.608704663,9.420933806,7.324379433,12.54711584,17%
S01006554,Summerhill,Aberdeen City,777,491,3924,57,12,6,3,3537,3857,4396,4216,4460,923,2235,9%,73,7%,33,65,26,35,109,17%,8%,86,87%,5.29,81,0%,9%,41,521,94,8,14%,1%,1.903367275,2.660635534,2.019543539,2.266756757,3.289803371,4.838170732,8.847703652,6.66815309,13.07671348,0%
S01006555,Summerhill,Aberdeen City,732,537,1608,24,5,3,2,2495,1432,1362,2039,2597,463,1067,14%,101,15%,81,130,247,488,171,18%,3%,146,78%,4.81,116,5%,9%,54,733,148,11,19%,1%,4.473998771,4.270795455,1.672088452,2.773055556,4.693071253,4.548670886,10.9717199,7.097911548,14.39730344,0%
S01006556,Summerhill,Aberdeen City,804,497,2292,33,7,4,2,2037,1937,2261,3187,4613,2882,1660,16%,130,13%,63,115,75,166,117,22%,3%,121,86%,5.32,108,7%,12%,19,239,135,8,16%,1%,3.424779236,3.455632458,1.604683771,1.666558603,3.761345465,5.345,7.782270286,5.344570406,10.87370823,0%
S01006557,Summerhill,Aberdeen City,679,425,1446,21,5,3,2,1871,1328,1076,1680,1835,3052,2323,17%,116,16%,65,150,207,145,114,24%,6%,155,77%,5.08,124,6%,4%,15,224,98,3,14%,0%,5.158837375,4.650445792,1.687154066,3.54553125,5.267639087,4.875454545,13.24256776,5.995777461,17.53477175,0%
S01006558,Midstocket,Aberdeen City,596,427,6797,98,20,10,5,6207,6023.5,6490,6707,6316,4134,2751,3%,15,3%,12,35,25,0,68,14%,5%,58,*,*,26,0%,12%,9,153,58,23,9%,4%,3.657877814,2.001937299,1.605530547,2.787333333,2.165803859,3.705671642,5.702684887,4.513681672,5.879549839,0%
S01006559,Midstocket,Aberdeen City,601,404,6972,100,20,10,5,6709,6749,6845,6918,6569,4464,5199,1%,9,1%,6,25,6,0,70,11%,0%,55,*,6.00,11,0%,20%,8,135,38,1,6%,0%,3.070374794,2.019402801,1.129069193,2.588,2.52410626,2.7426,5.654934102,3.94830313,8.380560132,0%
S01006560,Midstocket,Aberdeen City,1018,641,6953,100,20,10,5,6498.5,6817,6048,6720,6116,5547,5876,2%,20,1%,8,35,48,14,101,13%,5%,74,93%,6.08,16,2%,21%,8,80,37,10,4%,1%,2.230994676,1.636882865,1.034213456,1.973897959,3.11249516,3.082388535,5.598291384,3.972398354,9.002454017,3%
S01006561,Midstocket,Aberdeen City,728,443,6975,100,20,10,5,6888,6873,6714,6629,6844,3906,6509,1%,7,1%,5,25,88,0,56,12%,14%,55,94%,6.09,21,4%,19%,12,167,22,1,3%,0%,2.141475196,0.946129243,1.195084856,1.792278481,3.347885117,3.685230769,3.69593342,3.980339426,9.246155352,0%
S01006562,Midstocket,Aberdeen City,972,612,4724,68,14,7,4,4550,3514,4127,5671,3680,4252,4177.5,6%,60,8%,46,80,78,16,90,13%,3%,97,84%,5.79,52,0%,27%,14,146,56,6,8%,1%,1.661845404,2.216180362,2.447865599,2.31868984,4.226368384,4.078608696,8.782827298,9.519777159,14.63821727,12%
S01006563,Midstocket,Aberdeen City,677,395,5035,73,15,8,4,5609.5,4939,4954,6349,5453,90,2829,4%,25,4%,17,60,11,0,390,13%,0%,86,88%,6.00,39,0%,29%,95,1406,94,11,11%,1%,2.874788136,1.559512712,1.503296005,2.580429448,3.28222155,3.968157895,6.062182203,6.612303269,9.453038741,1%
S01006564,Rosemount,Aberdeen City,1007,791,3336,48,10,5,3,3294,3088,3595,2578,6560,2221,608,10%,105,9%,70,90,71,65,101,17%,2%,90,75%,5.31,91,5%,8%,30,302,212,37,22%,4%,4.348021363,1.504117497,2.424145473,1.65594697,2.837377925,1.674447674,4.681192777,7.226251272,7.757843337,0%
S01006565,Rosemount,Aberdeen City,1000,888,3653,53,11,6,3,3675,3803,4499,2041,5613,3067,140,9%,89,7%,60,75,93,61,107,12%,2%,73,71%,*,69,9%,2%,22,223,277,51,33%,6%,3.437315283,1.652932692,2.90805668,1.416363636,2.555956478,2.376583333,4.969478745,7.333165486,7.743970142,12%
S01006566,Rosemount,Aberdeen City,761,618,5826,84,17,9,5,4950,5202,5938,5650,6722,2545,1947,5%,39,4%,24,40,26,68,76,12%,3%,75,88%,5.92,39,0%,8%,20,266,96,22,13%,3%,3.87824967,1.250392999,3.003173712,2.041511628,1.819970277,2.18049505,4.264299868,7.332027741,5.424782034,0%
S01006567,Rosemount,Aberdeen City,744,607,2656,39,8,4,2,2757,2013,3028,3539,6205,1695,275,13%,94,13%,76,100,144,123,100,17%,4%,102,77%,*,69,4%,2%,27,367,223,48,27%,6%,4.123865269,1.196901198,3.017568862,1.845470588,2.552113772,1.539135802,2.90905988,6.03458982,5.858263473,6%
S01006568,Rosemount,Aberdeen City,921,823,5931,86,18,9,5,5946,5682,6234,4018,6846,2570,649,3%,28,3%,26,40,57,29,79,11%,6%,60,76%,5.43,26,5%,7%,24,264,185,45,20%,5%,4.188415493,1.504358072,2.102378115,2.749518072,1.895590466,1.322426471,3.938653846,4.5781961,4.876663055,0%
S01006569,Rosemount,Aberdeen City,561,444,5320,77,16,8,4,4657,4000,4850,6566,6720,3977,1285,6%,33,6%,28,70,92,20,79,12%,4%,76,*,6.00,17,0%,6%,9,162,93,17,16%,3%,3.824452297,1.986082155,1.743674912,3.175125,1.492977032,2.329365079,4.663493816,4.074461131,4.800865724,0%
S01006570,Rosemount,Aberdeen City,739,537,6963,100,20,10,5,6712,6683,6906,6727,6493,4688,4238,1%,11,2%,9,20,0,0,66,10%,6%,62,*,6.31,33,0%,15%,9,123,57,11,7%,1%,3.618204804,2.079115044,1.556264223,2.98,2.325436157,2.045515464,5.408429204,4.684266751,7.820221239,0%
S01006571,West End North,Aberdeen City,911,635,6414,92,19,10,5,6029,6230,6727,6699,6283,715,3853,3%,26,2%,15,25,66,0,54,9%,3%,73,93%,6.33,20,3%,21%,54,589,56,29,6%,3%,4.271230293,1.436010698,2.130982545,2.274770992,2.561765203,2.090335968,4.213364302,6.477573198,7.465067568,0%
S01006572,West End North,Aberdeen City,957,622,6930,100,20,10,5,6953,6902,6924,6972,3422,4036,6285,1%,6,1%,6,15,56,0,47,10%,0%,58,*,6.56,15,0%,41%,15,159,27,6,3%,1%,1.891323204,2.303941989,2.566063536,2.737295082,4.097867403,3.074198113,10.0818674,11.01855249,14.70649171,5%
S01006573,West End North,Aberdeen City,790,535,6974,100,20,10,5,6702,6895,6893,6804,5395,5882,6618,2%,12,1%,5,15,120,19,31,8%,0%,70,92%,6.17,17,0%,28%,5,64,13,6,2%,1%,3.085583564,2.049744475,1.928290746,2.658068182,3.304637431,2.553554217,7.037368785,8.416274171,11.13236878,0%
S01006574,West End North,Aberdeen City,1017,661,6865,99,20,10,5,6496,6928,6841,6916,4775,2159,6086,2%,20,1%,6,20,44,14,97,9%,6%,54,*,6.45,14,0%,24%,31,309,32,9,3%,1%,3.62753996,1.678429071,2.930996503,2.386048951,3.240996503,2.23405303,5.084725275,10.08556693,10.00972278,20%
S01006575,West End South,Aberdeen City,981,697,6960,100,20,10,5,6922,6933,6933,6934,4584,4482,5762,1%,8,1%,6,15,44,12,44,8%,5%,55,*,6.52,28,0%,16%,13,134,37,9,4%,1%,4.150212934,2.331811251,2.991046267,2.600925926,3.602528917,2.985990991,7.234258675,8.278133544,8.429195584,0%
S01006576,West End South,Aberdeen City,730,527,6515,94,19,10,5,6639,5841,6599,6769,4761,1411,4755,2%,12,3%,16,30,53,0,72,10%,0%,67,92%,6.17,13,0%,17%,30,416,45,8,6%,1%,4.918229749,2.700855447,3.017765363,1.738169935,2.98777933,3.41377451,8.114074721,8.644811453,6.933756983,0%
S01006577,West End South,Aberdeen City,814,608,6717,97,20,10,5,6239,5906,6258,6628,6279,4208,1826,2%,20,3%,17,35,58,13,60,12%,3%,77,*,5.80,16,0%,18%,12,149,101,24,13%,3%,4.159668401,1.691677503,2.89573472,2.016946903,2.426527958,2.150970588,5.756261378,7.514626138,6.438263979,0%
S01006578,West End South,Aberdeen City,1105,950,5471,79,16,8,4,5174,5030,5273,4547,6265,3517,566,5%,51,4%,40,50,150,105,77,11%,0%,76,81%,6.00,51,2%,6%,21,192,220,49,21%,5%,5.191097172,2.077748631,2.576507755,1.632067308,1.987821624,2.887546296,6.626943431,6.746822536,5.062176095,0%
S01006579,West End South,Aberdeen City,1048,922,6411,92,19,10,5,5893,5714,6631,5799,6301,3656,1024,3%,33,3%,29,30,80,32,84,8%,2%,59,*,6.60,29,4%,5%,19,184,171,33,18%,3%,4.846903527,2.347964212,2.241903527,2.249047619,1.70717583,3.192808219,6.384740664,5.654372407,4.03033195,0%
S01006580,West End South,Aberdeen City,724,585,6296,91,19,10,5,5526,5502.5,6181,6547,6215,3888,1196,4%,28,3%,20,35,94,0,83,10%,3%,87,85%,6.56,28,2%,29%,12,168,107,35,15%,5%,4.900690377,1.402894003,2.961460948,2.003543689,1.588870293,2.277743056,5.712217573,7.629494421,4.823092748,0%
S01006581,West End South,Aberdeen City,949,648,6967,100,20,10,5,6939,6721,6786,6844,4704,6323,6019,1%,7,2%,10,25,37,15,48,9%,0%,61,91%,6.54,16,0%,21%,4,43,24,15,3%,2%,3.772446569,1.784350394,2.595717098,2.66733871,3.933787964,3.032241379,6.772083802,7.970677728,9.85943757,0%
