,Month,Claimant_Count,Percent (%)
0,2017-10-01,38.497,2.4963233
1,2017-11-01,38.682,2.5083196
2,2017-12-01,39.261,2.5458646
3,2018-01-01,39.648,2.5185566
4,2018-02-01,40.439,2.5688033
5,2018-03-01,40.957,2.6017081
6,2018-04-01,42.056,2.6715198
7,2018-05-01,42.749,2.7155412
8,2018-06-01,42.997,2.7312949
9,2018-07-01,43.663,2.7736011
10,2018-08-01,43.923,2.7901171
11,2018-09-01,44.877,2.850718
12,2018-10-01,45.964,2.9197674
13,2018-11-01,46.851,2.9761122
14,2018-12-01,48.202,3.0619317
15,2019-01-01,49.733,3.1183966
16,2019-02-01,50.94,3.1940789
17,2019-03-01,52.197,3.2728962
18,2019-04-01,52.973,3.3215536
19,2019-05-01,53.656,3.3643796
20,2019-06-01,54.771,3.4342931
21,2019-07-01,55.217,3.4622586
22,2019-08-01,56.441,3.5390068
23,2019-09-01,57.582,3.6105506
24,2019-10-01,58.839,3.689368
25,2019-11-01,60.021,3.7634827
26,2019-12-01,60.482,3.7923886
27,2020-01-01,60.137,3.5712568
28,2020-02-01,59.718,3.5463743
29,2020-03-01,59.173,3.5140093
30,2020-04-01,104.162,6.1856968
31,2020-05-01,118.592,7.0426274
32,2020-06-01,114.488,6.7989099
33,2020-07-01,118.477,7.0357981
34,2020-08-01,119.232,7.080634
35,2020-09-01,116.082,6.8935702
36,2020-10-01,112.308,6.6694499
37,2020-11-01,112.955,6.7078722
38,2020-12-01,111.815,6.6401729
39,2021-01-01,109.785,6.5196206
40,2021-02-01,112.326,6.6705188
41,2021-03-01,112.091,6.6565632
