Quarter Ending,HSC Trust,Specialty,Programme Of Care,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 9 - 12 weeks,> 12-15 weeks,> 15-18 weeks,>18-26 weeks,>26-39 weeks,>39-52 weeks,>52-65 weeks,>65-78 weeks,>78-91 weeks,>91-104 weeks,>104 weeks,>18 weeks,>18-52 weeks,> 13 - 26 weeks,>52 weeks,> 26 weeks,Total Waiting
30-Jun-2008,Belfast,General Surgery,Acute Services,"2,152",434,277,,,,,,,,,,,,,,6,,0,"2,869"
30-Jun-2008,Belfast,Urology,Acute Services,464,113,78,,,,,,,,,,,,,,0,,0,655
30-Jun-2008,Belfast,T & O Surgery,Acute Services,"2,751","1,214","1,114",,,,,,,,,,,,,,17,,12,"5,108"
30-Jun-2008,Belfast,ENT,Acute Services,"1,373",427,410,,,,,,,,,,,,,,0,,0,"2,210"
30-Jun-2008,Belfast,Ophthalmology,Acute Services,"2,200",637,453,,,,,,,,,,,,,,2,,0,"3,292"
30-Jun-2008,Belfast,Oral Surgery,Acute Services,386,113,61,,,,,,,,,,,,,,0,,0,560
30-Jun-2008,Belfast,Restorative Dentistry,Acute Services,625,230,94,,,,,,,,,,,,,,0,,0,949
30-Jun-2008,Belfast,Paediatric Dentistry,Acute Services,112,35,26,,,,,,,,,,,,,,0,,0,173
30-Jun-2008,Belfast,Orthodontics,Acute Services,60,15,3,,,,,,,,,,,,,,0,,0,78
30-Jun-2008,Belfast,Neurosurgery,Acute Services,171,102,58,,,,,,,,,,,,,,0,,0,331
30-Jun-2008,Belfast,Plastic Surgery,Acute Services,85,15,6,,,,,,,,,,,,,,0,,0,106
30-Jun-2008,Belfast,Cardiac Surgery,Acute Services,91,29,14,,,,,,,,,,,,,,0,,0,134
30-Jun-2008,Belfast,Paediatric Surgery,Acute Services,251,29,2,,,,,,,,,,,,,,0,,0,282
30-Jun-2008,Belfast,Thoracic Surgery,Acute Services,56,3,0,,,,,,,,,,,,,,0,,0,59
30-Jun-2008,Belfast,Pain Management,Acute Services,274,98,51,,,,,,,,,,,,,,0,,0,423
30-Jun-2008,Belfast,General Medicine,Acute Services,824,277,164,,,,,,,,,,,,,,0,,0,"1,265"
30-Jun-2008,Belfast,Gastroenterology,Acute Services,340,103,86,,,,,,,,,,,,,,0,,0,529
30-Jun-2008,Belfast,Endocrinology,Acute Services,272,54,11,,,,,,,,,,,,,,0,,0,337
30-Jun-2008,Belfast,Haematology (Clinical),Acute Services,107,5,8,,,,,,,,,,,,,,0,,0,120
30-Jun-2008,Belfast,Audiological,Acute Services,1,2,2,,,,,,,,,,,,,,0,,0,5
30-Jun-2008,Belfast,Clinical Genetics,Acute Services,173,127,169,,,,,,,,,,,,,,1,,0,470
30-Jun-2008,Belfast,Rehabilitation,Acute Services,20,1,2,,,,,,,,,,,,,,0,,0,23
30-Jun-2008,Belfast,Palliative Medicine,Acute Services,6,0,0,,,,,,,,,,,,,,0,,0,6
30-Jun-2008,Belfast,Cardiology,Acute Services,765,196,122,,,,,,,,,,,,,,13,,0,"1,096"
