,date,age,value,sex
0,2020-01-03,Under 1 year,0.0,Men
13,2020-01-03,85+,0.0,Women
12,2020-01-03,75-84,0.0,Women
11,2020-01-03,65-74,0.0,Women
9,2020-01-03,15-44,0.0,Women
8,2020-01-03,01-14,0.0,Women
7,2020-01-03,Under 1 year,0.0,Women
10,2020-01-03,45-64,0.0,Women
5,2020-01-03,75-84,0.0,Men
4,2020-01-03,65-74,0.0,Men
3,2020-01-03,45-64,0.0,Men
2,2020-01-03,15-44,0.0,Men
1,2020-01-03,01-14,0.0,Men
6,2020-01-03,85+,0.0,Men
22,2020-01-10,01-14,0.0,Women
27,2020-01-10,85+,0.0,Women
26,2020-01-10,75-84,0.0,Women
25,2020-01-10,65-74,0.0,Women
24,2020-01-10,45-64,0.0,Women
23,2020-01-10,15-44,0.0,Women
21,2020-01-10,Under 1 year,0.0,Women
17,2020-01-10,45-64,0.0,Men
19,2020-01-10,75-84,0.0,Men
18,2020-01-10,65-74,0.0,Men
16,2020-01-10,15-44,0.0,Men
15,2020-01-10,01-14,0.0,Men
14,2020-01-10,Under 1 year,0.0,Men
20,2020-01-10,85+,0.0,Men
36,2020-01-17,01-14,0.0,Women
41,2020-01-17,85+,0.0,Women
40,2020-01-17,75-84,0.0,Women
39,2020-01-17,65-74,0.0,Women
38,2020-01-17,45-64,0.0,Women
37,2020-01-17,15-44,0.0,Women
35,2020-01-17,Under 1 year,0.0,Women
31,2020-01-17,45-64,0.0,Men
33,2020-01-17,75-84,0.0,Men
32,2020-01-17,65-74,0.0,Men
30,2020-01-17,15-44,0.0,Men
29,2020-01-17,01-14,0.0,Men
28,2020-01-17,Under 1 year,0.0,Men
34,2020-01-17,85+,0.0,Men
55,2020-01-24,85+,0.0,Women
54,2020-01-24,75-84,0.0,Women
53,2020-01-24,65-74,0.0,Women
52,2020-01-24,45-64,0.0,Women
51,2020-01-24,15-44,0.0,Women
50,2020-01-24,01-14,0.0,Women
49,2020-01-24,Under 1 year,0.0,Women
47,2020-01-24,75-84,0.0,Men
46,2020-01-24,65-74,0.0,Men
45,2020-01-24,45-64,0.0,Men
44,2020-01-24,15-44,0.0,Men
