income,type,rate,label,label2
0,income_tax,0.0,Income Tax,Income Tax
0,plus_nics,0.0,+ National Insurance,Income Tax + NIC
0,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
0,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
0,plus_student_loans,0.0,+ Student Loans,+ Student Loans
100,income_tax,0.0,Income Tax,Income Tax
100,plus_nics,0.0,+ National Insurance,Income Tax + NIC
100,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
100,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
100,plus_student_loans,0.0,+ Student Loans,+ Student Loans
200,income_tax,0.0,Income Tax,Income Tax
200,plus_nics,0.0,+ National Insurance,Income Tax + NIC
200,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
200,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
200,plus_student_loans,0.0,+ Student Loans,+ Student Loans
300,income_tax,0.0,Income Tax,Income Tax
300,plus_nics,0.0,+ National Insurance,Income Tax + NIC
300,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
300,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
300,plus_student_loans,0.0,+ Student Loans,+ Student Loans
400,income_tax,0.0,Income Tax,Income Tax
400,plus_nics,0.0,+ National Insurance,Income Tax + NIC
400,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
400,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
400,plus_student_loans,0.0,+ Student Loans,+ Student Loans
500,income_tax,0.0,Income Tax,Income Tax
500,plus_nics,0.0,+ National Insurance,Income Tax + NIC
500,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
500,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
500,plus_student_loans,0.0,+ Student Loans,+ Student Loans
600,income_tax,0.0,Income Tax,Income Tax
600,plus_nics,0.0,+ National Insurance,Income Tax + NIC
600,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
600,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
600,plus_student_loans,0.0,+ Student Loans,+ Student Loans
700,income_tax,0.0,Income Tax,Income Tax
700,plus_nics,0.0,+ National Insurance,Income Tax + NIC
700,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
700,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
700,plus_student_loans,0.0,+ Student Loans,+ Student Loans
800,income_tax,0.0,Income Tax,Income Tax
800,plus_nics,0.0,+ National Insurance,Income Tax + NIC
800,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
800,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
800,plus_student_loans,0.0,+ Student Loans,+ Student Loans
900,income_tax,0.0,Income Tax,Income Tax
900,plus_nics,0.0,+ National Insurance,Income Tax + NIC
900,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
900,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
900,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1000,income_tax,0.0,Income Tax,Income Tax
1000,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1000,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
1000,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1000,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1100,income_tax,0.0,Income Tax,Income Tax
1100,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1100,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
1100,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1100,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1200,income_tax,0.0,Income Tax,Income Tax
1200,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1200,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
1200,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1200,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1300,income_tax,0.0,Income Tax,Income Tax
1300,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1300,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
1300,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1300,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1400,income_tax,0.0,Income Tax,Income Tax
1400,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1400,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
